ID, lon, lat
7ODM,-117.0932,34.1164
ACSB,-117.4449,33.2743
ACSX,-117.4449,33.2743
ALPP,-118.6948,34.8245
ANA1,-119.3635,34.015
AR27,-117.325,33.3418
AR53,-117.4765,33.3811
ARM1,-118.91,35.2
ARM2,-118.91,35.2
AVRY,-117.154,34.4683
AZRY,-116.6297,33.5401
AZU1,-117.8965,34.126
BBDM,-119.9815,34.5822
BBRY,-116.8842,34.2643
BCWR,-119.4058,34.9205
BEMT,-115.9982,34.0005
BEPK,-118.0741,35.8784
BGIS,-118.1597,33.9671
BILL,-117.0646,33.5782
BKAP,-116.0804,35.287
BKMS,-118.0947,33.9623
BMHL,-116.053,34.2514
BMRY,-116.9847,33.9627
BOMG,-115.7297,33.3646
BRAN,-118.277,34.1849
BRIB,-122.1526,37.9194
BRPK,-118.5768,34.6823
BSRY,-117.012,34.9186
BTDM,-118.1882,34.2928
BUEG,-120.1964,34.60725
BVPP,-119.3475,35.1573
CACT,-115.9899,33.6551
CAND,-120.4337,35.9394
CARH,-120.4308,35.8884
CASE,-117.4041,33.4553
CCCC,-117.6712,35.5653
CCST,-119.0135,34.8064
CDMT,-116.3359,34.8295
CGDM,-117.9649,34.244
CHIL,-118.026,34.3334
CHMS,-117.8277,34.6405
CIT1,-118.1273,34.1367
CJMG,-117.42448,34.27117
CJMS,-117.4794,34.3138
CJVG,-118.1442,34.5303
CLAR,-117.7088,34.1099
CLBD,-117.311,33.1354
CMBB,-120.386,38.0342
CME1,-124.396,40.4417
CMP9,-118.4114,34.3532
CNPP,-117.6089,33.8576
COKG,-115.7285,32.8505
COSO,-117.8089,35.9823
COTD,-116.3869,33.7325
CPBN,-117.573,35.0717
CRFP,-117.0997,34.0391
CRGG,-119.72486,35.2422
CRRS,-115.735,33.0698
CSCI,-119.039,34.1684
CSN1,-118.5238,34.2536
CSST,-119.3712,34.4081
CTDM,-118.6132,34.5165
CTMS,-116.3704,34.1241
CUHS,-119.6739,34.9426
CVHS,-117.9017,34.082
DAM2,-118.4,34.33
DAM3,-118.4,34.33
DHLG,-115.788,33.3898
DIAB,-121.9156,37.8786
DIXN,-121.8286,38.4687
DLUZ,-117.3072,33.4306
DSSC,-116.7121,33.7333
DTPG,-117.84588,35.26747
DUBP,-121.8551,37.7276
DVPB,-117.86,34.41
DYH2,-118.12746,33.93832
DYHS,-118.13,33.94
EBMD,-122.28379,37.815
ECFS,-117.4117,33.6477
EDPP,-118.8304,34.9462
ELSC,-118.2084,34.0297
ELSG,-117.42602,33.64914
ELTN,-118.4257,34.7031
ELTS,-118.45375,34.5993
EOCG,-119.76978,34.45085
ERRG,-115.82272,33.11642
EWPP,-117.5256,34.1042
FARB,-123.0008,37.6972
FGST,-120.0094,34.733
FHOG,-116.9359,34.0936
FMTP,-118.8941,34.4099
FMVT,-118.884,34.3563
FOXG,-118.24051,34.73393
FSHB,-115.7999,32.945
FZHS,-118.8934,34.8002
GDEC,-119.86,35.19
GHRP,-117.3979,34.2039
GLRS,-115.5214,33.2748
GMAG,-116.3826,34.29144
GMRC,-115.6602,34.784
GOLD,-116.8892,35.4252
GR8R,-120.4157,36.399
GVRS,-118.1129,34.0474
HAR7,-117.2992,35.01153
HCMN,-116.4301,34.7548
HIVI,-117.8,34.76
HMTG,-117.00151,33.70809
HNPS,-115.6353,33.705
HOGS,-120.4795,35.8667
HOL3,-117.8451,34.4582
HOLP,-118.1682,33.9245
HOPB,-123.0747,38.9952
HUNT,-120.4024,35.8808
HVYS,-119.1875,34.4412
IDOG,-116.2215,33.7968
IDQG,-116.239,33.768
ISLK,-118.4743,35.6623
JNHG,-117.95544,34.44906
JRSC,-122.2274,37.4062
KBRC,-119.0082,34.3985
KYVW,-116.1734,33.9254
LAND,-120.4733,35.8998
LBC1,-118.1372,33.8321
LBC2,-118.17,33.79
LBCH,-118.2033,33.7878
LDES,-116.4328,34.2673
LDSW,-116.2091,34.6994
LGWD,-117.7645,33.6406
LINJ,-118.14,34.66
LJRN,-118.8677,34.8075
LKHG,-116.7588,33.23602
LL01,-117.83,34.49
LLAS,-117.84,34.59
LMHG,-117.39129,33.7442
LMSG,-117.44507,33.81741
LNMT,-116.9397,35.0902
LONG,-118,34.11
LORS,-117.7541,34.1333
LPCG,-117.5464,34.3149
LPHS,-117.96,34.03
LRRG,-118.02999,34.52706
LUTZ,-121.8652,37.2869
LVMS,-119.1,34.73
MASW,-120.4431,35.8326
MAT2,-117.4367,33.8568
MCCM,-122.8802,38.1448
MHCB,-121.6426,37.3415
MHDL,-122.4943,37.8423
MIDA,-120.4588,35.9219
MILK,-118.1129,34.04747
MILP,-121.834,37.4491
MLFP,-117.318,33.9184
MNMC,-120.4341,35.9695
MNRC,-122.4428,38.8787
MONB,-121.8669,37.4853
MRDM,-117.8817,34.1752
MSCG,-116.648,34.0385
MSHP,-121.9249,37.5563
MSOB,-117.2101,34.2308
MTA1,-118.25,34.06
MTGG,-116.64723,33.19916
MUSB,-119.3094,37.1699
NHRG,-119.1413,34.4987
NOCO,-117.56957,33.9197
OAES,-116.0677,34.141
OCSD,-117.3467,33.2407
OHLN,-122.2737,38.0074
OPBL,-115.9181,34.3699
ORES,-120.2786,34.7391
ORMT,-116.8151,34.6749
OXMT,-122.4243,37.4994
OXYC,-118.2073,34.1288
OZST,-119.3534,34.6834
P056,-119.0629,36.0274
P058,-124.0754,40.8763
P059,-123.7262,38.9283
P066,-116.1698,32.6165
P156,-123.9061,40.0244
P157,-124.3081,40.2475
P158,-124.1072,40.4225
P159,-124.2828,40.5048
P160,-124.1333,40.5513
P161,-124.2131,40.6374
P162,-124.237,40.6911
P163,-124.0573,40.2196
P164,-123.6933,40.1193
P165,-123.8533,40.2455
P166,-123.8628,40.4352
P167,-123.8802,40.5437
P168,-123.8815,40.6686
P169,-123.9677,40.7911
P171,-121.7925,36.4855
P175,-121.1349,36.4259
P176,-122.3571,37.4718
P177,-122.495,37.5282
P178,-122.3323,37.5345
P180,-121.4032,36.2928
P181,-122.3768,37.9145
P182,-123.1812,38.495
P183,-123.0689,38.3137
P184,-123.7089,39.1172
P185,-123.7493,39.2613
P186,-123.5182,39.1502
P187,-123.6025,39.3525
P188,-123.2295,38.6679
P189,-123.3484,38.9874
P190,-123.204,39.242
P192,-123.1052,39.3197
P193,-122.9081,38.1229
P194,-122.8162,38.1857
P195,-122.9593,38.6647
P196,-122.7426,38.2981
P197,-122.7674,38.4286
P198,-122.6074,38.2599
P199,-122.5034,38.2637
P200,-122.4517,38.2398
P201,-122.6584,38.5598
P202,-122.496,38.4236
P203,-122.917,38.8661
P204,-122.7105,38.6665
P205,-122.9631,39.3981
P206,-122.5758,38.7778
P207,-122.7186,39.26
P208,-122.3039,39.1093
P209,-122.1267,37.0692
P210,-121.7318,36.8161
P211,-121.698,36.8792
P212,-121.8627,36.962
P213,-121.9908,37.2017
P214,-121.7966,37.001
P215,-121.7629,37.0488
P216,-121.7262,37.0024
P217,-121.6506,37.1045
P218,-121.714,37.2035
P219,-122.2848,37.3425
P220,-122.2143,37.3299
P221,-122.099,37.3369
P222,-122.0833,37.5392
P223,-122.0998,37.722
P224,-122.2191,37.8639
P225,-122.0583,37.7139
P226,-121.8256,37.3368
P227,-121.7896,37.533
P228,-121.6869,37.6018
P229,-121.978,37.7494
P230,-121.7864,37.819
P231,-121.9054,36.6217
P232,-121.579,36.724
P233,-121.4203,36.8004
P234,-121.5912,36.8585
P235,-121.5415,36.8143
