ID, lon, lat
P236,-121.5545,36.9035
P237,-121.3868,36.637
P238,-121.4528,36.8491
P239,-121.5478,36.9625
P240,-121.542,37.0078
P241,-121.5743,37.213
P242,-121.4632,36.9539
P243,-121.3352,36.9182
P244,-121.3545,37.0108
P248,-121.8687,37.9756
P249,-121.0644,36.6116
P250,-121.2684,36.95
P251,-121.3479,36.8114
P252,-121.0577,37.1696
P253,-121.653,37.4784
P254,-121.4692,37.4896
P255,-121.3249,37.5819
P256,-121.6048,37.932
P258,-121.2833,37.3854
P259,-121.1006,37.433
P261,-122.2175,38.153
P262,-122.0961,38.0251
P263,-122.4292,38.5777
P264,-122.1953,38.4442
P265,-121.9542,38.5302
P266,-121.8435,38.184
P268,-121.6464,38.4735
P269,-122.3544,38.9995
P271,-121.7145,38.6574
P274,-121.4605,38.2831
P277,-122.3669,37.1924
P278,-121.0608,35.7113
P280,-120.3476,35.5441
P281,-120.3895,35.8411
P282,-120.3452,35.8378
P283,-120.2853,35.8067
P287,-120.6978,36.0248
P288,-120.8789,36.1402
P289,-120.7488,36.1068
P290,-120.7283,36.1789
P291,-120.6448,35.9228
P292,-120.4753,36.0075
P293,-120.543,36.0894
P294,-120.4399,36.1232
P297,-120.5519,35.9741
P298,-120.294,36.0158
P302,-120.6186,36.6347
P304,-120.3566,36.739
P307,-120.0579,36.9473
P309,-120.9512,38.09
P312,-123.6984,39.5292
P313,-123.5645,39.5543
P314,-123.5818,39.6857
P315,-123.7169,39.8636
P317,-123.5518,39.9057
P318,-123.3719,39.4524
P319,-123.2951,39.7071
P320,-123.1868,39.4928
P321,-123.3949,39.8972
P322,-123.1825,39.9621
P324,-123.6557,40.2568
P326,-123.6989,40.5753
P327,-123.5731,40.4789
P329,-123.452,40.0822
P330,-123.1356,40.3241
P331,-123.3241,40.7329
P332,-123.1745,40.5467
P333,-122.9757,39.6214
P334,-122.7359,39.4936
P335,-122.8736,39.7262
P337,-122.8688,40.2962
P340,-123.0498,39.4093
P345,-122.2708,40.2712
P462,-116.6287,36.0713
P463,-117.1647,36.0225
P464,-117.41,36.159
P467,-118.0906,36.5702
P470,-117.3939,34.4624
P471,-117.5409,33.5621
P472,-117.1047,32.8892
P473,-116.9495,32.7338
P474,-117.2487,33.3552
P475,-117.2439,32.6664
P476,-117.1897,33.4396
P477,-117.1134,33.5028
P478,-117.0716,33.2357
P479,-116.7829,33.4933
P480,-116.3485,32.976
P481,-116.0108,32.8222
P482,-116.6714,33.2402
P483,-116.5693,33.0592
P484,-116.6208,33.3756
P485,-116.409,33.2102
P486,-116.3223,33.2602
P487,-116.1831,33.2135
P488,-116.0788,33.201
P489,-116.1116,33.2962
P490,-116.4259,33.5235
P491,-116.2268,33.5747
P492,-115.9694,32.887
P493,-115.8249,32.9547
P494,-115.7321,32.7597
P495,-115.6284,33.045
P496,-115.596,32.7506
P497,-115.577,32.8347
P498,-115.5696,32.8984
P499,-115.4879,32.9796
P503,-115.7202,32.9489
P504,-115.7658,33.5164
P505,-115.687,33.4239
P507,-115.6124,33.2
P508,-115.4287,33.2478
P509,-115.2939,32.8907
P510,-115.3433,33.1436
P513,-120.6502,34.9073
P514,-120.4097,35.0107
P515,-120.2398,34.8706
P516,-120.3834,35.1062
P517,-118.1776,34.3764
P518,-120.0753,35.02
P519,-119.7924,34.5078
P520,-119.6164,34.6305
P521,-119.8153,34.8886
P522,-119.5361,35.0866
P523,-120.8603,35.3044
P525,-120.8081,35.4258
P528,-120.5454,35.3278
P529,-120.3538,35.4405
P530,-120.4804,35.6248
P531,-120.5366,35.7927
P532,-120.267,35.6338
P533,-120.371,35.7479
P534,-122.2376,37.0612
P535,-120.1014,35.2351
P536,-120.025,35.2798
P537,-119.9353,35.3168
P538,-120.1125,35.5342
P539,-120.182,35.7027
P540,-120.1306,35.8013
P541,-120.0007,35.6867
P542,-120.2926,35.689
P543,-119.7132,35.319
P544,-119.738,35.7313
P545,-119.5358,35.4998
P546,-120.1549,35.9279
P547,-119.9094,35.9347
P548,-119.5039,34.467
P549,-119.3263,34.5996
P550,-119.1146,34.6601
P551,-119.1546,34.8562
P552,-120.2449,35.6867
P553,-118.879,34.8351
P554,-118.848,34.7923
P555,-118.6694,34.695
P556,-118.5455,34.7711
P557,-118.6556,34.9444
P558,-118.6117,35.1386
P560,-118.5409,34.8218
P561,-118.3991,34.6185
P562,-118.1887,34.9821
P563,-119.4212,35.4187
P564,-119.3494,35.6229
P565,-119.2367,35.7439
P566,-119.2293,36.3245
P567,-118.7536,35.4209
P568,-118.1265,35.2543
P569,-118.1238,35.378
P570,-118.26,35.6673
P573,-118.2605,36.0931
P574,-117.6339,34.2868
P575,-117.5422,34.2155
P577,-117.3189,34.3046
P578,-120.239,35.6943
P579,-118.0058,35.0388
P580,-117.1922,35.6209
P581,-117.729,34.5097
P582,-117.5488,34.6343
P583,-117.5434,34.987
P584,-116.9516,33.8926
P585,-116.5457,34.0193
P586,-117.2805,34.5348
P587,-118.0313,34.3322
P588,-117.2676,34.7854
P589,-117.1102,34.6207
P590,-117.3648,35.1168
P591,-118.0165,35.1524
P592,-117.3032,35.2385
P593,-117.205,35.3879
P594,-117.3901,35.8967
P595,-117.4028,35.6976
P596,-116.8895,35.9982
P597,-116.8884,35.7106
P598,-116.7103,34.1925
P599,-116.5375,34.2172
P600,-116.2119,33.8658
P601,-116.0802,33.9593
P602,-120.2279,35.7292
P604,-116.6715,34.9368
P605,-117.9366,34.341
P606,-116.8796,34.4621
P607,-115.8207,33.741
P608,-115.6865,33.9941
P609,-116.8928,34.0627
P611,-115.6498,35.2048
P612,-117.3155,34.1874
P613,-117.0499,34.1962
P615,-116.7629,35.2046
P616,-117.8933,35.4246
P617,-116.5716,35.3206
P618,-116.1039,35.1419
P619,-116.1218,35.526
P620,-116.1449,35.7854
P725,-119.7456,37.0889
P729,-119.096,34.2631
P740,-116.596,33.5982
P741,-116.531,33.5575
P742,-116.6026,33.4955
P744,-115.5084,32.8294
P782,-120.2162,35.6938
P787,-121.5808,36.7995
P788,-121.4788,36.7443
P789,-120.4717,35.9466
P790,-120.5154,35.9291
P793,-123.5731,40.4788
P794,-122.9638,39.8457
P797,-116.5925,33.5373
P808,-118.6215,34.836
P809,-119.2368,35.7439
P810,-119.2367,35.744
P811,-118.0166,35.1524
P812,-118.0165,35.1525
PALG,-117.03177,33.38903
PBHR,-121.2724,35.709
PBPP,-117.9226,34.5082
PEA2,-120.7669,36.1805
PHJX,-115.5505,32.4901
PHLB,-117.6945,34.9254
PJZX,-115.8837,32.417
PKDB,-120.5416,35.9452
PMHS,-118.15,33.9
POBG,-116.92374,33.68715
POMM,-120.4784,35.9199
PPBF,-117.1821,33.8357
PSAP,-116.494,33.8192
PSDM,-117.8071,34.0918
PTRB,-123.0149,37.9964
PTRO,-121.9442,38.2095
QHTP,-118.24,34.63
RAMT,-117.6833,35.3387
RCA2,-119.72,34.5
RDMT,-116.6247,34.6439
RHCG,-118.01333,34.00095
RHCL,-118.0262,34.0191
RKMG,-117.60943,33.67414
RMVJ,-117.5553,33.4858
ROCK,-118.6764,34.2357
ROCP,-122.0629,37.7816
RSTP,-118.1929,34.8751
RSVY,-119.1844,34.5415
RTHS,-117.35,34.09
RYAN,-116.6501,36.3163
S300,-121.5583,37.6665
SAOB,-121.4472,36.7653
SBCC,-117.6615,33.553
SBRB,-122.4109,37.6865
SCCP,-122.0021,37.6518
SCIA,-117.3883,34.6074
SDHL,-116.2789,34.255
SFDM,-118.7545,34.4598
SGDM,-117.8617,34.2056
SGHS,-118.11,34.09
SGLG,-115.72638,32.64926
SGPS,-116.7,33.91
SHOS,-116.299,35.9713
SKYB,-118.4786,34.4386
SLAC,-122.2043,37.4165
SLHG,-116.25406,33.19262
SLMS,-115.9778,33.2922
SNOG,-116.8078,34.0352
SODB,-121.9255,37.1664
SOMT,-119.0643,34.3199
SONG,-117.5603,33.3808
SPMS,-117.8488,33.9927
SRB1,-122.267,37.8744
SVIN,-122.5263,38.0332
SWEP,-122.4557,37.6117
SYNG,-120.0695,34.60725
T3RP,-122.5882,37.9278
TABL,-117.6783,34.3818
TBLP,-120.3603,35.9174
THCP,-118.4146,35.1582
THMG,-116.0772,33.6506
THMS,-117.7668,33.5496
TIBB,-122.4476,37.8909
TMAP,-116.16,33.64
TOWG,-117.76489,35.8086
TPOG,-118.22858,34.87887
TRCP,-122.6158,37.9974
TRND,-124.1509,41.0539
TROY,-116.53,34.84
TWMS,-117.73,33.97
UCD1,-121.7511,38.5362
UCSF,-122.4582,37.763
USC2,-118.2773,34.01953
USGC,-116.0853,33.0301
USLO,-120.6611,35.3118
VCST,-119.4839,34.8515
VCVL,-121.9469,38.3945
VDCY,-118.22,34.1786
VNCO,-119.2377,34.2758
VNCX,-118.4845,34.2932
VNDP,-120.6164,34.5563
VNPS,-118.12,34.5
VTOR,-117.1932,33.225
VYAS,-117.99,34.03
WASG,-118.55697,35.7384
WCHS,-117.9111,34.0619
WGPP,-118.9837,35.0108
WHC1,-118.0312,33.9799
WHFG,-118.35195,35.69501
WIDC,-116.3918,33.9348
WIN2,-122.1406,37.6526
WINT,-122.1406,37.6526
WKPK,-118.7415,34.5685
WLHG,-118.31312,36.15239
WLSN,-118.0559,34.2261
WMAP,-118.4143,34.2594
WMDG,-115.58188,33.0383
WNRA,-118.06,34.04
WORG,-118.24238,35.69557
WWFG,-115.57878,33.27884
WWMT,-116.65,33.96
YUHG,-115.922236,32.647574
