ID, lon, lat
ARLI,-122.1424,48.1742
ASHL,-122.6701,42.1806
BAYV,-122.4578,48.002
BCIT,-122.191,47.614
BDRD,-121.7878,47.2775
BDRH,-121.789,47.2791
BELI,-122.4771,48.7568
BELV,-122.1837,47.6008
BFIR,-122.1254,47.6174
BILS,-124.2523,47.5391
BLVU,-122.1831,47.5991
BLY1,-121.049,42.4068
BLYN,-122.9275,48.0161
BRDG,-121.7872,47.2769
BSUM,-122.1319,47.554
CABL,-124.5633,42.8361
CAMI,-122.4786,48.2153
CATH,-123.3672,46.1972
CH2M,-121.8261,47.5266
CHCM,-122.7758,48.0106
CHEM,-121.7858,43.2243
CHZZ,-123.9781,45.4865
CME1,-124.396,40.4417
CNCR,-121.7492,48.5387
CORV,-123.3046,44.5855
COUG,-122.2607,46.0592
COUP,-122.6848,48.2171
CPXF,-122.256,46.84
CPXX,-122.2565,46.8401
CROK,-122.9125,46.2745
CSHT,-122.9095,46.6121
CSKI,-122.2355,47.3803
CTPT,-122.8939,42.3766
CUSH,-123.2197,47.4232
DDSN,-123.2442,43.1188
DEA2,-122.48,48.7527
DEEJ,-123.9259,47.4687
DWH1,-122.0801,47.7741
ELSR,-122.7605,47.4975
EMBC,-121.787,47.2778
EMBL,-121.7875,47.2776
EMBR,-121.7865,47.278
ENUM,-121.9555,47.2062
ESM1,-122.5691,47.8034
FITZ,-120.5892,42.0221
FND1,-121.785,47.2786
FND2,-121.785,47.2788
FRFX,-121.9594,47.0079
FRID,-123.018,48.5352
FTS1,-123.956,46.2048
GASB,-122.7159,39.6547
GLNW,-121.2887,46.0198
GLWD,-121.2886,46.0198
GOBS,-120.8147,45.8388
GOLY,-120.8138,45.8389
GRMD,-123.0226,46.7954
GRP4,-122.1272,48.1946
GRSV,-120.7874,45.3644
GTPS,-123.2973,42.4344
GWEN,-121.328,45.7826
HAHD,-121.7881,47.2908
HCRO,-121.4692,40.8156
HGP1,-122.921,47.0193
HLSY,-123.1091,44.3775
HTCH,-120.9657,47.1915
IWAC,-124.0394,46.3058
KFRC,-121.7838,42.2241
KNTP,-122.2575,47.4251
KRMT,-122.3209,47.8028
KTBW,-122.7954,47.5473
LA_P,-121.506,43.6646
LCSO,-123.1066,44.6343
LFLO,-124.1077,43.9835
LINH,-120.5384,47.0003
LKCP,-121.8309,47.9444
LNGB,-122.7582,47.2187
LSIG,-121.6895,47.6951
LWCK,-124.0536,46.2778
MCMV,-123.1331,45.1973
MDMT,-121.2216,42.4183
MDRS,-121.1304,44.664
MKAH,-124.5888,48.3707
MONT,-123.6035,46.9828
NEAH,-124.6249,48.2979
NEWP,-124.0619,44.585
NINT,-121.7969,47.4951
NWIS,-122.6702,48.4191
OAKR,-122.445,43.7383
OCEN,-124.1593,46.9522
ODOT,-123.0007,44.8967
OLAR,-122.9082,46.9608
OLMP,-122.895,47.0447
ONAB,-124.0741,44.5143
ORVB,-121.5003,39.5546
OTIS,-122.3365,48.4178
OYLR,-122.2047,47.4746
P058,-124.0754,40.8763
P060,-122.4149,40.9976
P062,-121.0907,43.1124
P063,-120.9462,44.9227
P064,-123.4877,47.9698
P065,-120.9331,46.844
P144,-120.893,39.4667
P148,-120.8059,40.4186
P154,-123.36,41.8071
P155,-123.1888,41.2724
P156,-123.9061,40.0244
P157,-124.3081,40.2475
P158,-124.1072,40.4225
P159,-124.2828,40.5048
P160,-124.1333,40.5513
P161,-124.2131,40.6374
P162,-124.237,40.6911
P163,-124.0573,40.2196
P164,-123.6933,40.1193
P165,-123.8533,40.2455
P166,-123.8628,40.4352
P167,-123.8802,40.5437
P168,-123.8815,40.6686
P169,-123.9677,40.7911
P170,-123.8633,40.8802
P179,-123.6856,42.099
P184,-123.7089,39.1172
P185,-123.7493,39.2613
P186,-123.5182,39.1502
P187,-123.6025,39.3525
P190,-123.204,39.242
P191,-123.6322,42.2754
P192,-123.1052,39.3197
P205,-122.9631,39.3981
P207,-122.7186,39.26
P208,-122.3039,39.1093
P270,-122.0552,39.2438
P272,-121.9431,39.1455
P312,-123.6984,39.5292
P313,-123.5645,39.5543
P314,-123.5818,39.6857
P315,-123.7169,39.8636
P316,-124.0861,41.5591
P317,-123.5518,39.9057
P318,-123.3719,39.4524
P319,-123.2951,39.7071
P320,-123.1868,39.4928
P321,-123.3949,39.8972
P322,-123.1825,39.9621
P324,-123.6557,40.2568
P325,-123.8826,41.1517
P326,-123.6989,40.5753
P327,-123.5731,40.4789
P329,-123.452,40.0822
P330,-123.1356,40.3241
P331,-123.3241,40.7329
P332,-123.1745,40.5467
P333,-122.9757,39.6214
P334,-122.7359,39.4936
P335,-122.8736,39.7262
P336,-122.4305,39.5281
P337,-122.8688,40.2962
P338,-122.923,40.7476
P339,-122.6682,40.0341
P340,-123.0498,39.4093
P341,-122.6069,40.6507
P343,-123.3342,40.8871
P344,-122.028,39.9291
P345,-122.2708,40.2712
P346,-120.8675,39.7947
P347,-120.9484,41.1833
P348,-121.828,40.9055
P349,-122.3194,40.7311
P362,-124.2258,42.2091
P363,-124.054,42.8601
P364,-124.4093,43.0903
P365,-124.2535,43.3955
P366,-123.9796,43.6143
P367,-124.0616,44.5852
P368,-123.3834,42.5035
P369,-123.4295,43.1401
P370,-122.6564,42.191
P371,-123.0579,43.3633
P373,-123.3333,43.6225
P374,-123.5906,44.3819
P375,-123.427,44.6893
P376,-123.1023,44.9412
P377,-122.8871,44.0521
P378,-122.9309,44.535
P379,-122.577,44.4965
P380,-121.7797,42.2597
P382,-121.7696,43.1771
P383,-122.2172,44.3422
P384,-122.4828,44.8411
P387,-121.5745,44.2968
P395,-123.8575,45.0223
P396,-123.8229,45.3095
P397,-123.7991,46.4216
P398,-123.9161,46.9258
P399,-123.613,47.4339
P400,-123.8118,47.5139
P401,-124.557,47.9372
P402,-124.3059,47.7662
P403,-124.1409,48.0623
P404,-123.3903,45.1585
P405,-123.6438,45.6293
P406,-123.1523,45.1904
P407,-123.931,45.9546
P408,-123.3766,46.2005
P409,-123.2395,45.8513
P410,-123.0786,46.1111
P411,-123.1574,45.538
P412,-122.5891,45.2211
P414,-122.6928,45.8349
P415,-123.7299,46.656
P416,-121.5969,47.0399
P417,-123.2979,46.5747
P418,-123.4078,47.2366
P419,-123.3665,47.4093
P420,-122.8663,46.5886
P421,-122.4292,46.5319
P423,-122.9412,47.2879
P424,-122.8747,47.8232
P425,-122.8454,46.4527
P426,-122.5146,47.8027
P427,-122.3406,45.4302
P429,-121.8774,45.6761
P430,-123.4362,47.0038
P431,-121.9884,46.5721
P432,-121.6832,46.6229
P434,-121.0756,47.7402
P435,-123.5033,48.0595
P436,-123.1343,48.0453
P437,-122.4591,48.0018
P438,-122.6702,48.4191
P439,-122.9093,48.7082
P440,-122.4933,48.8562
P441,-122.1396,48.916
P442,-121.6155,48.2605
P443,-121.2856,48.5096
P444,-121.0675,48.7302
P445,-120.6722,45.5901
P446,-122.8928,46.1157
P655,-122.2063,41.2945
P660,-122.0677,41.4096
P661,-122.3127,41.4636
P663,-122.1529,41.5319
P671,-121.4282,40.4091
P672,-121.5069,41.7116
P673,-121.613,41.5858
P674,-121.49,41.6163
P687,-122.3546,46.1096
P688,-122.1642,46.0301
P689,-122.3606,46.1896
P694,-122.1819,46.2996
P702,-122.3456,46.3002
P705,-122.3106,46.173
P730,-120.8282,41.3592
P732,-123.8914,43.3925
P733,-124.4133,42.442
P734,-124.2932,42.0766
P735,-123.231,42.6916
P736,-121.8801,42.5798
P737,-122.6096,42.7271
P784,-122.4205,41.8308
P786,-123.9801,41.8457
P793,-123.5731,40.4788
P794,-122.9638,39.8457
P815,-124.5572,47.9372
P816,-124.557,47.9372
PABH,-124.2046,47.2128
PCOL,-122.5708,47.1721
PCSO,-123.3278,44.919
PER1,-122.2081,47.9816
PFLD,-122.2817,47.8985
PKDL,-121.5636,45.5182
PKWD,-121.6769,46.5997
PNCL,-123.4152,48.1014
PNVL,-121.9999,44.9999
PORC,-120.7432,41.5995
POUL,-122.6672,47.7546
PRDY,-122.6094,47.3913
PSEA,-122.3201,47.4513
PSPT,-122.4894,42.7548
PTAA,-123.4943,48.1168
PTSG,-124.2552,41.7827
PUPU,-122.0081,47.4996
QMAR,-120.9655,47.775
QUIN,-120.945,39.9745
RDTP,-120.7576,47.2726
REDM,-121.1478,44.2597
REED,-124.1075,43.701
RMRK,-120.7924,46.7487
RPT1,-122.375,47.3875
RSBG,-122.6407,43.2349
RYMD,-123.7304,46.6841
SAMM,-122.0332,47.5398
SATS,-123.5402,46.9654
SC00,-120.7246,46.9509
SC02,-123.0076,48.5462
SC03,-123.7057,47.8166
SEAS,-123.9216,45.9838
SEAT,-122.3095,47.654
SEDK,-122.2389,48.5041
SEDR,-122.2238,48.5216
SKMA,-121.8839,45.6942
SMAI,-122.345,47.5235
SNOQ,-121.3882,47.3913
SNRS,-121.6435,46.9146
SPWY,-121.788,47.2773
SQIM,-123.102,48.0823
SSHO,-122.3151,47.6822
STHM,-122.7342,44.3961
SUHS,-123.3288,42.9869
SUTB,-121.8206,39.2058
TACO,-122.4711,47.2289
TDLS,-121.1295,45.6077
THUN,-122.2884,47.1058
TILL,-123.8307,45.455
TPW2,-123.7684,46.2074
TRI1,-122.1874,47.7087
TRND,-124.1509,41.0539
TUMW,-122.9121,46.9842
TWHL,-122.9229,47.0159
TWR1,-121.787,47.2767
UFDA,-122.6673,47.755
V096,-122.3362,47.6016
V102,-122.3357,47.6005
VERN,-122.3371,48.4178
WACS,-122.9696,46.6754
WAEV,-122.2077,47.9816
WAMC,-121.2736,45.2238
WCM1,-122.6359,47.5411
WDCB,-122.5407,40.5801
WEEZ,-122.2047,47.9768
WHD1,-122.696,48.3127
WMSG,-121.5972,45.1312
YAKI,-120.505,46.6049
YAWA,-120.505,46.6049
YBHB,-122.7107,41.7317
YELM,-122.6057,46.9487
YONC,-123.2982,43.6341
ZSE1,-122.188,47.2869
