PSHA Deaggregation. % Contributions. Site: Pago_Pago long: 170.710 d W., lat: -14.300 N.
Input Vs30 (m/s) = 760.0 (Some  atten. models use Site Class not Vs30).     
NSHMP Samoa/New Hebrides Seismic Hazard. Analysis on YEARMODA 20120821
Mean Return Period:  2488 years. 0.20 s. PSA =0.4050   g. Weight * Computed_Rate_Ex 0.402E-03
#Pr[at least one eq with median motion>=PSA in 50 yrs]=0.00275
#This deaggregation corresponds to Mean Hazard w/all GMPEs 
DIST(km) MAG(Mw) ALL_EPS EPSILON>2  1<EPS<2 0<EPS<1 -1<EPS<0 -2<EPS<-1 EPS<-2
   35.8    7.40    0.359    0.024    0.142    0.193    0.001    0.000    0.000
   46.1    7.39    0.318    0.031    0.181    0.106    0.000    0.000    0.000
   55.3    7.40    0.244    0.034    0.177    0.033    0.000    0.000    0.000
   65.6    7.40    0.258    0.053    0.197    0.008    0.000    0.000    0.000
   75.4    7.40    0.194    0.059    0.135    0.000    0.000    0.000    0.000
   85.1    7.40    0.137    0.061    0.076    0.000    0.000    0.000    0.000
   95.3    7.40    0.111    0.072    0.039    0.000    0.000    0.000    0.000
  118.6    7.41    0.145    0.143    0.002    0.000    0.000    0.000    0.000
  120.5    7.40    0.078    0.065    0.013    0.000    0.000    0.000    0.000
  183.5    7.41    0.061    0.028    0.033    0.000    0.000    0.000    0.000
   16.8    7.59    0.268    0.009    0.052    0.129    0.077    0.001    0.000
   27.2    7.60    0.317    0.014    0.082    0.192    0.028    0.000    0.000
   36.6    7.60    0.297    0.017    0.103    0.174    0.003    0.000    0.000
   46.5    7.61    0.275    0.022    0.129    0.124    0.000    0.000    0.000
   56.0    7.59    0.263    0.029    0.164    0.070    0.000    0.000    0.000
   66.0    7.61    0.232    0.034    0.174    0.024    0.000    0.000    0.000
   75.8    7.60    0.205    0.043    0.157    0.005    0.000    0.000    0.000
   85.6    7.60    0.139    0.041    0.098    0.000    0.000    0.000    0.000
   95.6    7.61    0.122    0.051    0.071    0.000    0.000    0.000    0.000
  119.3    7.57    0.116    0.106    0.010    0.000    0.000    0.000    0.000
  121.2    7.62    0.190    0.139    0.051    0.000    0.000    0.000    0.000
  157.0    7.62    0.065    0.030    0.022    0.013    0.000    0.000    0.000
   16.9    7.79    0.177    0.005    0.033    0.082    0.056    0.001    0.000
   27.7    7.80    0.251    0.010    0.060    0.147    0.033    0.000    0.000
   36.7    7.80    0.255    0.013    0.078    0.158    0.007    0.000    0.000
   45.7    7.80    0.268    0.017    0.103    0.147    0.000    0.000    0.000
   55.6    7.80    0.254    0.021    0.127    0.105    0.000    0.000    0.000
   65.6    7.80    0.233    0.026    0.150    0.057    0.000    0.000    0.000
   75.1    7.81    0.187    0.027    0.140    0.019    0.000    0.000    0.000
   85.1    7.79    0.158    0.032    0.122    0.004    0.000    0.000    0.000
   95.3    7.81    0.136    0.037    0.099    0.000    0.000    0.000    0.000
  121.9    7.80    0.378    0.232    0.145    0.001    0.000    0.000    0.000
  157.0    7.80    0.129    0.054    0.030    0.044    0.001    0.000    0.000
  176.3    7.80    0.092    0.009    0.051    0.032    0.000    0.000    0.000
   16.9    7.99    0.116    0.003    0.021    0.052    0.039    0.001    0.000
   27.7    8.00    0.171    0.006    0.038    0.095    0.031    0.000    0.000
   36.8    8.00    0.190    0.009    0.052    0.119    0.011    0.000    0.000
   46.5    8.00    0.285    0.016    0.096    0.169    0.003    0.000    0.000
   56.3    8.00    0.212    0.015    0.089    0.107    0.000    0.000    0.000
   65.4    7.99    0.224    0.020    0.118    0.087    0.000    0.000    0.000
   75.4    8.01    0.180    0.020    0.115    0.045    0.000    0.000    0.000
   85.6    7.99    0.176    0.026    0.133    0.017    0.000    0.000    0.000
   95.4    8.01    0.137    0.026    0.106    0.005    0.000    0.000    0.000
  122.4    8.00    0.488    0.217    0.269    0.001    0.001    0.000    0.000
  155.4    8.00    0.167    0.031    0.039    0.084    0.013    0.000    0.000
  242.4    7.97    0.085    0.085    0.000    0.000    0.000    0.000    0.000
   27.7    8.15    0.063    0.002    0.013    0.034    0.014    0.000    0.000
   36.9    8.15    0.072    0.003    0.018    0.044    0.007    0.000    0.000
   46.5    8.15    0.111    0.006    0.034    0.069    0.003    0.000    0.000
   56.8    8.15    0.115    0.007    0.043    0.065    0.000    0.000    0.000
   66.3    8.15    0.111    0.009    0.051    0.052    0.000    0.000    0.000
   75.4    8.15    0.078    0.007    0.043    0.027    0.000    0.000    0.000
   85.3    8.15    0.099    0.012    0.066    0.022    0.000    0.000    0.000
   95.9    8.15    0.076    0.011    0.059    0.006    0.000    0.000    0.000
  121.6    8.15    0.267    0.085    0.179    0.003    0.000    0.000    0.000
  153.1    8.15    0.077    0.003    0.019    0.046    0.010    0.000    0.000
  242.5    8.16    0.220    0.220    0.000    0.000    0.000    0.000    0.000
  242.6    8.35    0.358    0.358    0.000    0.000    0.000    0.000    0.000
  242.7    8.64    0.789    0.623    0.166    0.000    0.000    0.000    0.000
  276.9    8.63    0.087    0.087    0.000    0.000    0.000    0.000    0.000
  262.5    8.83    0.259    0.215    0.044    0.000    0.000    0.000    0.000
  242.3    8.95    0.383    0.243    0.140    0.000    0.000    0.000    0.000

Summary statistics for above 0.2s PSA  deaggregation, R=distance, e=epsilon:
Contribution from this GMPE(%):  100.0
 Mean src-site R=   37.1 km; M= 6.37; eps0=   0.91. Mean calculated for all sources.
Modal src-site R=   14.0 km; M= 5.20; eps0=   1.17 from peak (R,M) bin
 MODE R*=  14.5km; M*= 5.40; EPS.INTERVAL: 1 to 2 sigma  % CONTRIB.=  3.765

Principal sources ( Subduction, random seismicity OR having >10% contribution)
Source Category:                 % contr.  R(km)    M   epsilon0 (mean values).
Shallow Background Eqs             69.65    25.5   6.15    0.86
Tonga Outer Rise                   27.21    44.5   6.73    0.93
#*********End of deaggregation corresponding to Mean Hazard w/all GMPEs  *********#

