PSHA Deaggregation. % Contributions. Site: Pago_Pago long: 170.710 d W., lat: -14.300 N.
Input Vs30 (m/s) = 760.0 (Some  atten. models use Site Class not Vs30).     
NSHMP Samoa/New Hebrides Seismic Hazard. Analysis on YEARMODA 20120821
Mean Return Period:  2475 years. 1.00 s. PSA =0.12854  g. Weight * Computed_Rate_Ex 0.404E-03
#Pr[at least one eq with median motion>=PSA in 50 yrs]=0.00259
#This deaggregation corresponds to Mean Hazard w/all GMPEs 
DIST(km) MAG(Mw) ALL_EPS EPSILON>2  1<EPS<2 0<EPS<1 -1<EPS<0 -2<EPS<-1 EPS<-2
   11.0    5.05    0.128    0.118    0.010    0.000    0.000    0.000    0.000
   11.9    5.21    0.480    0.365    0.114    0.000    0.000    0.000    0.000
   12.9    5.41    0.906    0.562    0.344    0.000    0.000    0.000    0.000
   13.6    5.60    1.333    0.638    0.657    0.038    0.000    0.000    0.000
   25.3    5.61    0.154    0.154    0.000    0.000    0.000    0.000    0.000
   14.1    5.80    1.633    0.486    0.981    0.166    0.000    0.000    0.000
   25.4    5.81    0.337    0.319    0.018    0.000    0.000    0.000    0.000
   34.8    5.82    0.108    0.108    0.000    0.000    0.000    0.000    0.000
   14.1    6.01    2.029    0.332    1.292    0.405    0.000    0.000    0.000
   25.4    6.01    0.648    0.426    0.221    0.000    0.000    0.000    0.000
   35.2    6.01    0.263    0.257    0.006    0.000    0.000    0.000    0.000
   45.1    6.02    0.091    0.091    0.000    0.000    0.000    0.000    0.000
   14.3    6.20    2.479    0.253    1.327    0.886    0.013    0.000    0.000
   25.4    6.20    0.904    0.338    0.565    0.001    0.000    0.000    0.000
   35.0    6.21    0.474    0.362    0.112    0.000    0.000    0.000    0.000
   44.7    6.21    0.241    0.235    0.006    0.000    0.000    0.000    0.000
   54.7    6.22    0.129    0.129    0.000    0.000    0.000    0.000    0.000
   15.0    6.40    2.660    0.197    1.135    1.259    0.068    0.000    0.000
   26.1    6.40    1.026    0.215    0.761    0.050    0.000    0.000    0.000
   35.1    6.40    0.674    0.308    0.366    0.000    0.000    0.000    0.000
   44.8    6.41    0.454    0.349    0.104    0.000    0.000    0.000    0.000
   55.1    6.41    0.278    0.265    0.012    0.000    0.000    0.000    0.000
   65.1    6.41    0.153    0.153    0.000    0.000    0.000    0.000    0.000
   75.0    6.41    0.081    0.081    0.000    0.000    0.000    0.000    0.000
   15.4    6.60    2.600    0.145    0.865    1.400    0.190    0.000    0.000
   27.1    6.60    1.207    0.165    0.828    0.213    0.000    0.000    0.000
   36.1    6.60    0.699    0.179    0.508    0.012    0.000    0.000    0.000
   45.0    6.60    0.639    0.286    0.354    0.000    0.000    0.000    0.000
   55.4    6.60    0.454    0.331    0.123    0.000    0.000    0.000    0.000
   65.3    6.61    0.265    0.240    0.025    0.000    0.000    0.000    0.000
   74.9    6.61    0.202    0.199    0.003    0.000    0.000    0.000    0.000
   85.3    6.61    0.140    0.140    0.000    0.000    0.000    0.000    0.000
   95.6    6.61    0.073    0.073    0.000    0.000    0.000    0.000    0.000
   16.2    6.80    2.564    0.119    0.713    1.427    0.304    0.001    0.000
   28.5    6.80    1.004    0.097    0.567    0.340    0.000    0.000    0.000
   37.3    6.80    0.864    0.139    0.640    0.085    0.000    0.000    0.000
   46.3    6.80    0.723    0.189    0.525    0.008    0.000    0.000    0.000
   55.8    6.80    0.502    0.213    0.289    0.000    0.000    0.000    0.000
   64.7    6.80    0.434    0.268    0.165    0.000    0.000    0.000    0.000
   74.8    6.80    0.358    0.291    0.067    0.000    0.000    0.000    0.000
   85.1    6.80    0.231    0.215    0.016    0.000    0.000    0.000    0.000
   94.6    6.81    0.158    0.157    0.001    0.000    0.000    0.000    0.000
  115.2    6.80    0.198    0.198    0.000    0.000    0.000    0.000    0.000
  120.5    6.85    0.064    0.064    0.000    0.000    0.000    0.000    0.000
   15.8    7.00    1.988    0.075    0.450    1.077    0.383    0.002    0.000
   27.2    7.00    1.002    0.066    0.393    0.538    0.004    0.000    0.000
   36.7    7.00    1.047    0.109    0.628    0.310    0.000    0.000    0.000
   46.6    7.00    0.779    0.127    0.588    0.064    0.000    0.000    0.000
   56.4    7.01    0.660    0.163    0.489    0.008    0.000    0.000    0.000
   66.2    7.00    0.518    0.192    0.325    0.000    0.000    0.000    0.000
   75.6    7.00    0.395    0.208    0.187    0.000    0.000    0.000    0.000
   85.0    7.00    0.313    0.220    0.093    0.000    0.000    0.000    0.000
   94.8    7.01    0.275    0.232    0.044    0.000    0.000    0.000    0.000
  117.2    6.98    0.226    0.223    0.004    0.000    0.000    0.000    0.000
  121.8    7.02    0.317    0.308    0.010    0.000    0.000    0.000    0.000
  164.5    7.02    0.086    0.086    0.000    0.000    0.000    0.000    0.000
   15.5    7.20    1.452    0.048    0.284    0.712    0.401    0.007    0.000
   26.4    7.20    1.101    0.055    0.328    0.673    0.045    0.000    0.000
   35.9    7.20    0.931    0.068    0.405    0.459    0.000    0.000    0.000
   46.0    7.20    0.838    0.088    0.507    0.243    0.000    0.000    0.000
   55.7    7.20    0.757    0.115    0.563    0.079    0.000    0.000    0.000
   65.8    7.20    0.589    0.127    0.446    0.017    0.000    0.000    0.000
   75.6    7.20    0.539    0.160    0.379    0.000    0.000    0.000    0.000
   85.6    7.20    0.441    0.185    0.257    0.000    0.000    0.000    0.000
   95.5    7.20    0.313    0.173    0.140    0.000    0.000    0.000    0.000
  117.2    7.20    0.173    0.143    0.030    0.000    0.000    0.000    0.000
  122.4    7.21    0.726    0.620    0.106    0.000    0.000    0.000    0.000
  165.1    7.21    0.250    0.250    0.000    0.000    0.000    0.000    0.000
   16.5    7.40    0.413    0.013    0.076    0.191    0.129    0.004    0.000
   26.3    7.40    0.365    0.015    0.091    0.217    0.042    0.000    0.000
   35.9    7.40    0.423    0.024    0.141    0.251    0.007    0.000    0.000
   46.1    7.40    0.401    0.031    0.184    0.186    0.000    0.000    0.000
   55.4    7.40    0.332    0.033    0.194    0.105    0.000    0.000    0.000
   65.7    7.40    0.388    0.053    0.279    0.055    0.000    0.000    0.000
   75.5    7.40    0.324    0.059    0.248    0.018    0.000    0.000    0.000
   85.2    7.40    0.259    0.061    0.194    0.004    0.000    0.000    0.000
   95.4    7.40    0.245    0.077    0.168    0.000    0.000    0.000    0.000
  123.7    7.40    0.771    0.478    0.293    0.000    0.000    0.000    0.000
  164.0    7.41    0.328    0.312    0.016    0.000    0.000    0.000    0.000
  243.3    7.37    0.098    0.098    0.000    0.000    0.000    0.000    0.000
