      casa         37 38 39.63959 -118 53 44.34998    2410.
      miner        37 36 44.84619 -118 54 49.52637    2500.
      wall         37 36 23.84857 -118 54 57.54639    2134.535
      slide        37 37  1.02356 -118 54 33.98071    2350. 
      knolls       37 39 17.21283 -118 58 30.54382    2630.
      shark        37 38  9.93530 -118 51 43.72009    2163.
      sherwin      37 37 30.21973 -118 56 40.37842    2380.
      hot          37 39 30.58868 -118 49 15.56946    2175.0
      sharkp       37 38 14.00024 -118 51 53.88245    2160.
      krak         37 42 48.69965 -118 52 45.76538    2395.
      tilla        37 37  8.93372 -118 51 40.09460    2190.
      taxi2        37 37 31.24969 -118 50 16.13159    2163.
      taxi         37 37 31.24969 -118 50 16.13159    2163.
      jcm          37 38 30.06775 -118 56 33.51196    2330.
      sewer        37 38 30.06775 -118 56 33.51196    2330.
      numike       37 38 52.52106 -118 55 26.38550    2250.
      lomike       37 38 52.52106 -118 55 26.38550    2250
      mike         37 39 35.76599 -118 56  9.28711    2500.
      cerro        37 38 46.      -118 55 43.         2340.
      knob         37 40 37.13837 -118 58  1.12793    2570.
      tup          37 40 38.15460 -118 53 25.86548    2420.
      rodger       37 39 57.16187 -118 53  0.84412    2400.
      mouse        37 41 26.21979 -118 54 39.58374    2520.
      lookout      37 43 44.38660 -118 56 48.01392    2543.
      convict      37 36 54.22577 -118 48 36.43066    2150.6
      smoat1       37 37 44.10370 -118 54 25.21912    2134.535
      smoat2       37 38  2.49207 -118 55 13.66882    2134.535
      smoat3       37 38 24.57458 -118 55 20.59021    2134.535
      whitmore     37 37 52.09625 -118 49  5.02258    2245.
      meadow       37 38  5.38971 -118 57 30.11902    2380.
      mill         37 36 47.68890 -119  0  0.76904    2134.535
      lincoln      37 38 10.71808 -119  1  2.04529    2134.535
      mary         37 35 58.2     -118 59 48.5        2720.
      horse        37 36 37.1     -119 01 17.4        2760.
      mammoth      37 37 50.5     -119 01 54.1        3327.
      george       37 36 12.6     -119 00 42.5        2785.
      d124         37 34 22.20245 -118 45 31.09131    2112.6
      duck         37 38 11.59698 -118 46 55.27405    2100.
      grate        37 39 15.33142 -118 47 19.49890    2131.
      gull         37 38 11.54205 -118 44 48.16223    2075.
      pile         37 36 15.00458 -118 50  7.23267    2330.
      u911         37 34 53.23883 -118 46 30.47241    2108.7
      bald         37 47  2.27783 -118 54  0.93933    2774.9
      bald1        37 47  2.27783 -118 54  0.93933    2774.9
      sage         37 44 13.61023 -118 50 46.15173    2130.
      obsidian     37 45 28.79791 -119  1 26.16028    2134.535
      dead         37 43 39.22302 -119  1 11.54846    2560.
      micro        37 45 55.54962 -118 58 49.76990    2581.
      crater       37 48 00.1     -119 01 05.2        2500.
      lichen       37 45 57.7     -118 58 50.7        2560.
      lava         37 50 46.9     -118 59 56.8        2620.
      trifle       37 47 30.4     -118 59 09.8        2502.
      hartley      37 47 03.2     -119 02 41.3        2694.
      june         37 48 43.3     -119 04 29.2        2356.
      bachar       37 49 28.0     -119 03 21.3        2348.
      saw          37 41 24.25598 -118 57  2.40601    2134.535
      6ege         37 38 47.      -118 54 57.         2240.
      thermal      37 38 50.      -118 54 54.         2260.
      diablo3      37 38 35.      -118 54 59.         2250.
      diablo       37 38 38.      -118 54 39.         2210.
      duke         37 37 24.03992 -118 59  6.49658    
      smokey       37 40 52.72522 -118 56 37.76917    
      holes        00 00 00.        00 00 00.
