CEUS catalog emm_pi.c2 (March 2016)
mining-related eqks deleted
non-declustered
format: mw*(mixed moment magnitude; for rates use column 12),lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,emw,nstar,comment
2.48 -104.900  39.900   0 1965 08 09 15 38  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
2.48 -104.900  39.900   0 1965 08 09 23 18  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
2.28 -104.900  39.900   0 1965 08 10 04 02  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
2.65 -104.900  39.900   0 1965 08 14 20 52  0.  0.515 2.65 2.020 SSC|TMP06310
2.38 -104.900  39.900   0 1965 08 14 22 52  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
2.08 -104.900  39.900   0 1965 08 18 15 21  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
2.18 -104.900  39.900   0 1965 08 22 18 16  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.08 -104.900  39.900   0 1965 08 27 20 32  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
1.48 -104.900  39.900   0 1965 08 27 20 33  0.  0.240 1.48 1.165 SRA|ml,1.80MLGOL
2.28 -104.900  39.900   0 1965 09 02 19 11  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
4.18 -104.800  39.800   5 1965 09 13 09 58 17.9 0.240 4.18 1.165 SRA|mb,4.5neic
1.78 -104.900  39.900   0 1965 09 13 11 03  0.  0.240 1.78 1.165 SRA|ml,2.10MLGOL
4.38 -104.800  39.800   5 1965 09 14 16 36 46.8 0.240 4.38 1.165 SRA|mb,4.7neic
2.38 -104.900  39.900   0 1965 09 14 21 14  0.  0.240 2.38 1.165 SRA|ml,2.70MLGOL
3.28 -104.600  39.900   5 1965 09 14 22 46 24.1 0.240 3.28 1.165 USH|ml,3.60MLGOL
2.48 -104.900  39.900   0 1965 09 14 22 53  0.  0.240 2.48 1.165 SRA|ml,2.80MLGOL
