The South American Crustal Structure Database

42.80W	5.41	0	1.71	2.4		6.32	MCz	900	77H.3		
	6.67	0	2.21	4.11							
	8.28	0	0	6.32	m						
											
.98N	2	0	0.95	0	s	5.38	-4.5	0	NAO-CE	4	R
39.08W	5.29	0	2.52	0.95		6.33	MCz	292	77H.3		
	6.79	0	2.86	3.47							
	8.45	0	0	6.33	m						
											
.13N	1.72	0	0.43	0	s	0	-2.7	0	NAO-CV	3	R
24.43W	4.82	0	0.93	0.43	s	1.36	MCz	78	65L.1		
	6.89	0	0	1.36							
											
.02N	1.67	0	0.35	0	s	2.74	-3.5	0	NAO-SI	4	R
23.85W	4.82	0	1.72	0.35	s	4.81	MCz	74	65L.1		
	7.19	0	2.74	2.07							
	8.49	0	0	4.81	m						
											
.10N	1.73	0	0.45	0	s	1.52	-3.7	0	NAO-SI	3	R
23.45W	5.05	0	1.52	0.45		1.97	MCz	77	65L.1		
	6.89	0	0	1.97							
											
.50S	2.15	0	2.01	0	s	4.36	-4	0	NAO-CE	4	R
40.23W	4.97	0	2.19	2.01	s	8.56	MCz	297	77H.3		
	6.88	0	4.36	4.2							
	8.44	0	0	8.56	m						
											
1.12S	2	0	1.08	0	s	3.91	-3.7	0	NAO-CE	5	R
40.07W	2.75	0	2.17	1.08	s	8.68	MCz	291	77H.3		
	4.93	0	1.52	3.25	s						
	6.98	0	3.91	4.77							
	8.4	0	0	8.68	m						
											
2.02S	1.78	0	0.6	0	s	0	-5.2	0	SAO-BR	3	R
27.87W	4.9	0	1.72	0.6	s	2.32	MCz	54	65L.1		
	6.96	0	0	2.32							
											
1.65S	1.87	0	0.86	0	s	0	-5.3	0	SAO-BR	3	R
27.25W	4.28	0	1.06	0.86	s	1.92	MCz	63	65L.1		
	6.89	0	0	1.92							
											
1.27S	1.7	0	0.46	0	s	2.43	-4.1	0	SAO-BR	4	R
26.67W	4.59	0	2.39	0.46	s	5.28	MCz	47	65L.1		
	6.72	0	2.43	2.85							
	8.3	0	0	5.28	m						
											
.92S	1.76	0	0.51	0	s	1.85	-4.1	0	SAO-BR	4	R
26.25W	4.9	0	1.36	0.51	s	3.72	MCz	53	65L.1		
	6.58	0	1.85	1.87							
	8.26	0	0	3.72	m						
											
.57S	1.62	0	0.1	0	s	0	-3.5	0	SAO-BR	3	R
25.82W	4.79	0	1.7	0.1	s	1.8	MCz	47	65L.1		
	6.51	0	0	1.8							
											
.22S	1.67	0	0.12	0	s	0	-3.5	0	SAO-MI	3	R
25.07W	4.28	0	1.94	0.12	s	2.06	MCz	306	65L.1		
	7.09	0	0	2.06							
											
53.00S	2.12	0	5.01	0	s	0	-2.5	0	SAO-SR	3	S
50.35W	4.3	0	2.92	5.01	s	7.93	MCz	47	71E.2	E	XC
	7.1	0	0	7.93							
											
52.40S	2.26	0	2.51	0	s	0	-3.1	0	SAO-SR	3	S
49.38W	4.29	0	2.81	2.51	s	5.32	MCz	47	71E.2		
	6.31	0	0	5.32							
											
49.60S	2.08	0	0.15	0	s	0	-2.8	0	SAO-FA	3	S
47.97W	4.98	0	0.84	0.15	s	0.99	MCz	79	71E.2	E	XC
	5.72	0	0	0.99							
											
50.00S	2.18	0	0.76	0	s	0	-2.6	0	SAO-FA	3	S
47.28W	4.21	0	1.53	0.76	s	2.29	MCz	176	71E.2	E	XC
	5.88	0	0	2.29							
											
50.23S	2.27	0	0.02	0	s	0	-2	0	SAO-FA	3	S
44.33W	3.46	0	0.39	0.02	s	0.41	MCz	158	71E.2	E	XC
	5.75	0	0	0.41							
											
50.03S	2.27	0	0.99	0	s	0	-2.5	0	SAO-FA	3	S
44.18W	3.84	0	1.74	0.99	s	2.73	MCz	21	71E.2	E	XC
	5.74	0	0	2.73							
											
48.58S	2	0	0.21	0	s	0	-5.7	0	SAO-AR	3	S
43.57W	4.49	0	0.92	0.21	s	1.13	MCz	135	71E.2		
	6.6	0	0	1.13							
											
50.22S	2	0	0.69	0	s	0	-1.4	0	SAO-AR	4	S
42.57W	2.78	0	0.4	0.69	s	1.79	MCz	138	71E.2	E	XC
	4.64	0	0.7	1.09	s						
	5.85	0	0	1.79							
											
50.78S	1.89	0	1.09	0	s	0	-1.7	0	SAO-FA	3	S
42.17W	3.84	0	1.91	1.09	s	3	MCz	24	71E.2	E	XC
	6.44	0	0	3							
											
51.13S	2	0	0.75	0	s	0	-2.3	0	SAO-FA	4	S
41.97W	2.39	0	1.21	0.75	s	3.91	MCz	144	71E.2	E	XC
	4.08	0	1.95	1.96	s						
	6	0	0	3.91							
											
51.62S	2.2	0	1.87	0	s	0	-3.2	0	SAO-FA	3	S
41.43W	4.6	0	1.36	1.87	s	3.23	MCz	146	71E.2	E	XC
	6.28	0	0	3.23							
											
52.53S	1.84	0	1.1	0	s	2.89	-3.8	0	SAO-SG	4	S
40.47W	3.02	0	2.83	1.1	s	6.82	MCz	146	71E.2		
	5.12	0	2.89	3.93							
	6.91	0	0	6.82							
											
54.05S	1.68	0	0.44	0	s	0	-0.2	0	SAO-SC	4	S
39.47W	2.25	0	0.86	0.44	s	3.4	MCz	0	71E.2	E	XC
	3.6	0	2.1	1.3	s						
	6.56	0	0	3.4							
											
54.90S	2	0	0.84	0	s	0	-3.8	0	SAO-SC	3	S
39.22W	4.71	0	2.64	0.84	s	3.48	MCz	0	71E.2		
	6.38	0	0	3.48							
											
58.78S	1.8	0	0.18	0	s	0	-4	0	SAO-SC	3	S
72.17W	4.7	0	1.06	0.18	s	1.24	MCz	48	71E.2		
	6.47	0	0	1.24							
											
56.13S	2	0	0.71	0	s	0	-3.9	0	SAO-SC	3	S
64.97W	4.23	0	1.46	0.71	s	2.17	MCz	55	71E.2		
	6.27	0	0	2.17							
											
55.78S	2	0	0.73	0	s	0	-3.9	0	SAO-SC	3	S
64.17W	4.97	0	2.82	0.73	s	3.55	MCz	58	71E.2		
	6.79	0	0	3.55							
											
56.05S	2.3	0	0.63	0	s	0	-4	0	SAO-SC	3	S
63.20W	4.54	0	1.4	0.63	s	2.03	MCz	132	71E.2		
	6.81	0	0	2.03							
											
57.45S	2.3	0	0.32	0	s	0	-3.6	0	SAO-SC	3	S
60.77W	4.88	0	1.25	0.32	s	1.57	MCz	139	71E.2		
	6.63	0	0	1.57							
											
57.83S	1.8	0	0.11	0	s	4.56	-3.8	0	SAO-SC	4	S
60.13W	4.23	0	1	0.11	s	5.67	MCz	138	71E.2		
	6.01	0	4.56	1.11							
	8.1	0	0	5.67	m						
											
55.50S	3.39	0	0.75	0	s	0	-4.4	0	SAO-SC	2	S
57.25W	6.25	0	0	0.75		0.75	MCz	146	71E.2		
											
55.83S	2	0	0.06	0	s	7.55	-3.9	0	SAO-SC	4	S
57.17W	3.71	0	0.79	0.06	s	8.4	MCz	172	71E.2		
	6.29	0	7.55	0.85							
	8.17	0	0	8.4	m						
											
56.58S	2	0	0.31	0	s	0	-4.1	0	SAO-SC	3	S
56.13W	3.95	0	1.45	0.31	s	1.76	MCz	102	71E.2		
	6.75	0	0	1.76							
											
57.78S	1.8	0	0.12	0	s	0	-3.9	0	SAO-SC	3	S
55.60W	4.47	0	2.83	0.12	s	2.95	MCz	64	71E.2		
	6.6	0	0	2.95							
											
57.57S	1.8	0	0.35	0	s	6.49	-4	0	SAO-SC	4	S
55.08W	4.53	0	2.28	0.35	s	9.12	MCz	36	71E.2		
	6.68	0	6.49	2.63							
	8.2	0	0	9.12	m						
											
56.67S	1.8	0	0.43	0	s	0	-4.8	0	SAO-SC	3	S
53.87W	4.12	0	3.54	0.43	s	3.97	MCz	31	71E.2		
	7.4	0	0	3.97							
											
55.70S	2	0	0.09	0	s	0	-4	0	SAO-SC	3	S
53.02W	3.93	0	0.94	0.09	s	1.03	MCz	56	71E.2		
	6.39	0	0	1.03							
											
55.07S	2	0	0.1	0	s	0	-4.3	0	SAO-SC	3	S
52.02W	3.94	0	1.64	0.1	s	1.74	MCz	34	71E.2		
	6.58	0	0	1.74							
											
55.27S	2.03	0	1.02	0	s	5.97	-3.8	0	SAO-SC	4	S
38.58W	4.55	0	2.56	1.02	s	9.55	MCz	122	71E.2		
	6.44	0	5.97	3.58							
	7.61	0	0	9.55	m						
											
55.48S	2	0	1.05	0	s	3.45	-3.8	0	SAO-SC	4	S
37.92W	4.62	0	1.8	1.05	s	6.3	MCz	121	71E.2		
	6.77	0	3.45	2.85							
	7.76	0	0	6.3	m						
											
56.10S	2	0	0.37	0	s	0	-3.4	0	SAO-SC	4	S
35.90W	3.32	0	1.28	0.37	s	3.01	MCz	118	71E.2		
	4.48	0	1.36	1.65	s						
	6.65	0	0	3.01							
											
56.37S	2	0	0.41	0	s	4.02	-3.4	0	SAO-SC	5	S
35.87W	3.26	0	1.06	0.41	s	6.9	MCz	133	71E.2		
	4.48	0	1.41	1.47	s						
	6.32	0	4.02	2.88							
	7.5	0	0	6.9							
											
56.70S	2	0	0.97	0	s	0	-3.1	0	SAO-SC	3	S
28.63W	4.5	0	2.67	0.97	s	3.64	MCz	53	71E.2		
	7.3	0	0	3.64							
											
56.72S	2	0	0.89	0	s	0	-2.9	0	SAO-SC	3	S
28.13W	4.19	0	2.35	0.89	s	3.24	MCz	91	71E.2		
	6.9	0	0	3.24							
											
56.72S	2	0	1.6	0	s	2.04	-2.7	0	SAO-SR	3	S
27.60W	5.3	0	2.04	1.6		3.64	MCz	57	71E.2		
	7.53	0	0	3.64	m						
											
56.83S	2	0	0.73	0	s	2.9	-5.3	0	SAO-SR	4	S
25.18W	3.6	0	0.63	0.73	s	4.26	MCz	170	71E.2		
	5.14	0	2.9	1.36							
	7.2	0	0	4.26							
											
56.57S	2	0	0.2	0	s	0	-6.6	0	SAO-SR	3	S
24.92W	4.04	0	2.62	0.2	s	2.82	MCz	94	71E.2		
	5.58	0	0	2.82							
											
