The South American Crustal Structure Database

42.32S	2.1	0	0.74	0		1.41	-0.1	0	SAC-CS	3	B
60.22W	2.5	0	0.67	0.74		1.41		900	79L.2		
	5.45	0	0	1.41							
											
40.55S	1.88	0	1.16	0		7.89	-4.9	0	SAO-AR	4	B
53.95W	3.85	0	1.86	1.16		7.89	MCz	900	91H.4		
	5.45	0	4.87	3.02							
	7.3	0	0	7.89							
											
40.92S	1.71	0	0.8	0		6.06	-4.9	0	SAO-AR	7	B
54.25W	2.48	0	0.51	0.8		6.06	MCz	900	79L.2		
	3.29	0	0.85	1.31							
	4.1	0	0.73	2.16							
	5.4	0	0.91	2.89							
	6.45	0	2.26	3.8							
	8	0	0	6.06	m						
											
40.85S	1.7	0	0.49	0		4.98	-5	0	SAO-AR	6	B
53.93W	2.18	0	0.7	0.49		4.98	MCz	900	79L.2		
	3.15	0	0.93	1.19							
	3.37	0	0.72	2.12							
	6.4	0	2.14	2.84							
	7.35	0	0	4.98							
											
41.22S	1.63	0	0.47	0		2.95	-5	0	SAO-AR	3	B
54.15W	2.14	0	0.83	0.47		2.95	MCz	900	79L.2		
	3.68	0	1.65	1.3							
											
40.95S	2.13	0	1.63	0		7.81	-5	0	SAO-AR	5	B
53.98W	3.48	0	1.54	1.63		7.81	MCz	900	79L.2		
	5.7	0	1.09	3.17							
	6.6	0	3.55	4.26							
	7.85	0	0	7.81	m						
											
40.97S	2.16	0	1.64	0		2.47	-5.2	0	SAO-AR	2	B
53.62W	3.65	0	0.83	1.64		2.47	MCz	900	79L.2		
											
41.25S	1.57	0	0.45	0		2.45	-5.2	0	SAO-AR	6	B
53.82W	1.88	0	0.43	0.45		2.45	MCz	900	79L.2		
	2.69	0	0.72	0.88							
	3.95	0	0.64	1.6							
	5.45	0	0.21	2.24							
	6.7	0	0	2.45							
											
41.12S	3	0	3.45	0		3.45	-5.1	0	SAO-AR	2	B
53.83W	5.6	0	0	3.45		3.45	MCz	900	79L.2		
											
31.99S	2.08	0	1.91	0		4.11	-2.8	0	SAO-RG	2	B
48.85W	2.76	0	2.2	1.91		4.11	MCz	900	91H.4		
											
32.00S	2	0	0.6	0		6.99	-2.5	0	SAO-RG	6	B
49.05W	2.09	0	1.44	0.6		6.99	MCz	900	91H.4		
	2.94	0	1.45	2.04							
	3.29	0	2.73	3.49							
	3.86	0	0.77	6.22							
	4.54	0	0	6.99							
											
32.02S	1.79	0	1.06	0		8.62	-2.2	0	SAO-RG	3	B
49.20W	2.18	0	0.91	1.06		8.62	MCz	900	91H.4		
	3.85	0	6.65	1.97							
											
32.02S	1.69	0	0.7	0		8.75	-2	0	SAO-RG	6	B
49.57W	2.01	0	0.5	0.7		8.75	MCz	900	91H.4		
	2.41	0	1.44	1.2							
	2.94	0	0.77	2.64							
	4.48	0	5.34	3.41							
	4.56	0	0	8.75							
											
32.01S	1.53	0	0.35	0		4.26	-0.1	0	SAC-CS	7	B
50.18W	1.75	0	0.56	0.35		4.26		900	91H.4		
	1.98	0	0.36	0.91							
	2.17	0	0.66	1.27							
	2.87	0	0.95	1.93							
	3.81	0	1.38	2.88							
	4.15	0	0	4.26							
											
32.02S	1.55	0	0.81	0		7.23	-0.1	0	SAC-CS	5	B
50.39W	2.29	0	0.81	0.81		7.23		900	91H.4		
	2.65	0	0.38	1.62							
	2.77	0	1.95	2							
	6.46	0	3.28	3.95							
											
31.10S	1.81	0	0.31	0		2.99	-0.1	0	SAC-CS	7	B
50.13W	1.93	0	0.32	0.31		2.99		900	91H.4		
	2.16	0	0.49	0.63							
	2.5	0	0.72	1.12							
	2.88	0	0.39	1.84							
	3.27	0	0.76	2.23							
	3.96	0	0	2.99							
											
30.93S	1.77	0	0.39	0		4.11	-0.1	0	SAC-CS	8	B
50.02W	2.1	0	0.61	0.39		4.11		900	91H.4		
	2.39	0	0.56	1							
	2.77	0	0.54	1.56							
	3.21	0	0.46	2.1							
	3.72	0	0.77	2.56							
	4.28	0	0.78	3.33							
	4.98	0	0	4.11							
											
30.73S	1.8	0	1.32	0		3.42	-0.1	0	SAC-CS	4	B
49.90W	2.75	0	1.19	1.32		3.42		900	91H.4		
	4.05	0	0.91	2.51							
	4.45	0	0	3.42							
											
30.55S	1.59	0	0.34	0		3.36	-0.1	0	SAC-CS	7	B
49.77W	1.82	0	0.43	0.34		3.36		900	91H.4		
	2.3	0	0.53	0.77							
	2.71	0	0.45	1.3							
	3.2	0	0.92	1.75							
	4.23	0	0.69	2.67							
	5.84	0	0	3.36							
											
30.35S	1.87	0	0.77	0		6.73	-0.1	0	SAC-CS	6	B
49.63W	2.16	0	0.94	0.77		6.73		900	91H.4		
	2.31	0	0.54	1.71							
	3.19	0	0.74	2.25							
	4.5	0	3.74	2.99							
	4.8	0	0	6.73							
											
30.20S	1.71	0	0.39	0		3.04	-0.1	0	SAC-CS	5	B
49.55W	1.96	0	0.44	0.39		3.04		900	91H.4		
	2.58	0	1.11	0.83							
	4.74	0	1.1	1.94							
	5.68	0	0	3.04							
											
30.00S	1.62	0	0.5	0		2.12	-0.1	0	SAC-CS	4	B
49.42W	2.2	0	0.59	0.5		2.12		900	91H.4		
	4.5	0	1.03	1.09							
	6.45	0	0	2.12							
											
30.02S	2.46	0	1.07	0		4.9	-3	0	SAO-RG	5	B
45.97W	2.69	0	1.07	1.07		4.9	MCz	900	91H.4		
	3.5	0	1.32	2.14							
	4.78	0	1.44	3.46							
	6.85	0	0	4.9							
											
30.26S	1.85	0	0.35	0		1.94	-3.5	0	SAO-RG	3	B
45.51W	2.24	0	1.05	0.35		1.94	MCz	900	91H.4		
	3.21	0	0.54	1.4							
											
39.48S	1.95	0	0.53	0		3.02	-0.1	0	SAC-CS	5	B
56.72W	2.2	0	0.6	0.53		3.02		900	91H.4		
	2.8	0	0.79	1.13							
	3.55	0	1.1	1.92							
	5.7	0	0	3.02							
											
39.65S	2	0	0.73	0		10.86	-0.1	0	SAC-CS	9	B
56.82W	2.45	0	0.84	0.73		10.86		900	91H.4		
	3.2	0	0.95	1.57							
	3.7	0	0.72	2.52							
	4.55	0	1.08	3.24							
	5.2	0	1.32	4.32							
	5.85	0	2.37	5.64							
	6.4	0	2.85	8.01							
	7	0	0	10.86							
											
49.67S	2	0	0.42	0		0.42	-0.3	0	SAC-CS	2	B
57.47W	4.5	0	0	0.42		0.42		900	91H.4		
											
49.88S	2	0	0.65	0		1.29	-0.3	0	SAC-CS	3	B
57.43W	4.55	0	0.64	0.65		1.29		900	91H.4		
	5.4	0	0	1.29							
											
49.90S	2.11	0	1.51	0		2.76	-2.5	0	SAO-FA	3	B
51.07W	3.4	0	1.25	1.51		2.76	MCz	900	91H.4		
	4.75	0	0	2.76							
											
49.45S	2	0	0.19	0		1.69	-2.6	0	SAO-FA	4	B
51.25W	4.49	0	0.22	0.19		1.69	MCz	900	91H.4		
	5.47	0	1.28	0.41							
	6.64	0	0	1.69							
											
49.32S	2	0	0.8	0		6.53	-2.6	0	SAO-FA	6	B
51.30W	2.7	0	0.14	0.8		6.53	MCz	900	91H.4		
	3.5	0	0.3	0.94							
	5.1	0	1.86	1.24							
	6.15	0	3.43	3.1							
	6.9	0	0	6.53							
											
49.92S	1.99	0	0.59	0		3.95	-2.2	0	SAO-FA	5	B
52.63W	2.57	0	1.34	0.59		3.95	MCz	900	91H.4		
	4.21	0	0.95	1.93							
	5	0	1.07	2.88							
	5.65	0	0	3.95							
											
39.48S	1.8	0	0.18	0		3.61	-0.1	0	SAC-CS	6	B
57.37W	2.2	0	1.31	0.18		3.61		900	91H.4		
	2.95	0	0.69	1.49							
	3.35	0	0.97	2.18							
	4	0	0.46	3.15							
	4.55	0	0	3.61							
											
39.95S	2	0	0.95	0		3.15	-0.1	0	SAC-CS	4	B
56.50W	2.3	0	0.97	0.95		3.15		900	91H.4		
	3.85	0	1.23	1.92							
	4.35	0	0	3.15							
											
40.68S	1.88	0	0.51	0		5.64	-4.6	0	SAC-CS	8	B
54.40W	2.16	0	0.37	0.51		5.64	MCz	900	91H.4		
	2.78	0	0.81	0.88							
	3.27	0	0.57	1.69							
	4.22	0	1.01	2.26							
	4.5	0	0.79	3.27							
	5.25	0	1.58	4.06							
	7.15	0	0	5.64							
											
48.45S	1.62	0	0.61	0		1.24	-0.8	0	SAO-AR	3	B
59.11W	4.75	0	0.63	0.61		1.24	MCz	220.2	79L.3		
	5.4	0	0	1.24							
											
48.97S	1.83	0	0.7	0		1.28	-0.4	0	SAO-AR	3	B
59.72W	3.9	0	0.58	0.7		1.28		220.2	79L.3		
	4.9	0	0	1.28							
											
49.50S	1.8	0	0.42	0		1.34	-0.2	0	SAC-CS	4	B
60.35W	1.9	0	0.32	0.42		1.34		220.2	79L.3		
	2.5	0	0.6	0.74							
	4.6	0	0	1.34							
											
36.52S	2.02	0	0.33	0		2.35	-4	0	SAO-AR	4	B
51.17W	1.98	0	0.78	0.33		2.35	MCz	900	91H.4		
	2.64	0	1.24	1.11							
	3.05	0	0	2.35							
											
35.96S	1.96	0	0.56	0		3.57	-4.6	0	SAO-AR	4	B
49.04W	1.99	0	0.28	0.56		3.57	MCz	900	91H.4		
	2.9	0	2.73	0.84							
	4.9	0	0	3.57							
											
42.27S	2.07	0	0.42	0		2.26	-3.8	0	SPO-CH	4	B
76.03W	5.78	0	1.03	0.42		2.26	MCz	900	91H.4		
	5	0	0.81	1.45							
	6.2	0	0	2.26							
											
42.33S	3.45	0	0.79	0		1.32	-3.6	0	SPO-CH	3	B
76.25W	4.14	0	0.53	0.79		1.32	MCz	900	91H.4		
	5.11	0	0	1.32							
											
42.42S	2	0	0.22	0		2.15	-3.6	0	SPO-CH	4	B
76.42W	4.4	0	0.71	0.22		2.15	MCz	900	91H.4		
	5.85	0	1.22	0.93							
	6.55	0	0	2.15							
											
44.67S	1.67	0	0.62	0		5.06	-3.3	0	SPO-CH	6	B
76.07W	2.39	0	0.39	0.62		5.06	MCz	900	91H.4		
	4.01	0	0.7	1.01							
	5.02	0	1.73	1.71							
	6.07	0	1.62	3.44							
	6.92	0	0	5.06							
											
34.50S	4.5	0	1.87	0		2.52	-4	0	SPO-CH	3	B
84.93W	5.4	0	0.65	1.87		2.52	MCz	900	91H.4		
	6.75	0	0	2.52							
											
34.50S	3.5	0	0.44	0		2.26	-3.9	0	SPO-CH	4	B
82.50W	4.78	0	0.25	0.44		2.26	MCz	900	91H.4		
	5.97	0	1.57	0.69							
	7.36	0	0	2.26							
											
47.12S	2	0	0.6	0		1.78	-3.4	0	SPO-SE	3	B
77.35W	4.6	0	1.18	0.6		1.78	MCz	900	91H.4		
	6.35	0	0	1.78							
											
49.02S	2.35	0	0.12	0		0.77	-0.2	0	SPO-PC	3	B
75.92W	3.35	0	0.65	0.12		0.77		900	91H.4		
	4.75	0	0	0.77							
											
47.83S	3.6	0	0	0		0	-0.1	0	SPO-PC	1	B
75.62W						0		900	91H.4		
											
48.48S	1.7	0	0.53	0		2.36	-1.5	0	SPO-PC	5	B
76.18W	2.15	0	0.09	0.53		2.36	MCz	900	91H.4		
	2.6	0	0.65	0.62							
	3.4	0	1.09	1.27							
	4.8	0	0	2.36							
											
47.77S	2	0	0.12	0		1.29	-0.1	0	SPO-PC	3	B
75.60W	3.8	0	1.17	0.12		1.29		900	91H.4		
	5.6	0	0	1.29							
											
35.62S	1.85	0	1.18	0		6.53	-4.6	0	SAO-AR	7	B
36.47W	2.82	0	0.42	1.18		6.53	MCz	900	91H.4		
	5.41	0	0.69	1.6							
	6.16	0	1.78	2.29							
	6.62	0	1.17	4.07							
	7.09	0	1.29	5.24							
	8.1	0	0	6.53	m						
											
49.95S	2.45	0	1.16	0		3.73	-2.3	0	SAO-FA	3	B
43.27W	2.7	0	2.57	1.16		3.73	MCz	900	79L.3		
	5.65	0	0	3.73							
											
46.99S	2.05	0	1.45	0		1.45	-5.5	0	SAO-AR	1	B
43.50W						1.45	MCz	900	91H.4		
											
33.70S	1.69	0	0.46	0		2.48	-4.3	0	SAO-AR	4	B
43.97W	1.96	0	0.64	0.46		2.48	MCz	900	68H.4		
	2.89	0	1.38	1.1							
	4.65	0	0	2.48							
											
44.38S	1.82	0	0.75	0		2.6	-5.1	0	SAO-AR	2	B
41.37W	2.54	0	1.85	0.75		2.6	MCz	900	79L.3		
											
31.98S	1.8	0	0.44	0		1.2	-4.4	0	SAO-BR	3	B
27.92W	5	0	0.76	0.44		1.2	MCz	900	91H.4		
	6.06	0	0	1.2							
											
31.76S	1.8	0	0.42	0		1.01	-4.3	0	SAO-RG	3	B
28.20W	5.14	0	0.59	0.42		1.01	MCz	900	91H.4		
	5.89	0	0	1.01							
											
31.83S	2.01	0	0.6	0		1.94	-4.1	0	SAO-RG	3	B
28.35W	5.3	0	1.34	0.6		1.94	MCz	900	91H.4		
	6.54	0	0	1.94							
											
32.02S	2.05	0	0.44	0		1.69	-3.3	0	SAO-RG	4	B
29.05W	2.8	0	0.32	0.44		1.69	MCz	900	91H.4		
	5.19	0	0.93	0.76							
	6.57	0	0	1.69							
											
31.56S	2.2	0	0.58	0		0.58	-4.1	0	SAC-CS	1	B
30.65W						0.58	MCz	900	91H.4		
											
31.03S	2	0	0.58	0		1.35	-1.1	0	SAO-RG	4	B
33.48W	3.4	0	0.3	0.58		1.35	MCz	900	91H.4		
	4.22	0	0.47	0.88							
	4.9	0	0	1.35							
											
30.97S	2.55	0	0.78	0		1.41	-1.6	0	SAO-RG	3	B
35.62W	3.48	0	0.63	0.78		1.41	MCz	900	91H.4		
	4.09	0	0	1.41							
											
30.20S	1.97	0	0.82	0		2.1	-4.1	0	SAO-RG	4	B
38.63W	3.42	0	0.5	0.82		2.1	MCz	900	91H.4		
	3	0	0.78	1.32							
	5.9	0	0	2.1							
											
56.47S	2.21	0	0.85	0		0.85	-5.8	0	SPO-PC	1	B
71.20W						0.85	MCz	900	91H.4		
											
51.78S	3.6	0	2.38	0		2.38	-5.3	0	SPO-PC	2	B
77.34W	5.7	0	0	2.38		2.38	MCz	900	91H.4		
											
54.06S	3.15	0	0.56	0		2	-6.7	0	SPO-SE	3	B
85.47W	4.8	0	1.44	0.56		2	MCz	900	91H.4		
	6.3	0	0	2							
											
50.23S	2	0	1.36	0		3.74	-2.3	0	SAO-FA	4	B
51.87W	2.8	0	1.41	1.36		3.74	MCz	900	79L.3		
	3.9	0	0.97	2.77							
	4.5	0	0	3.74							
											
56.83S	1.63	0	0.21	0		2.14	-3.8	0	SPO-SC	5	B
66.48W	2.27	0	0.27	0.21		2.14	MCz	900	91H.4		
	2.5	0	0.98	0.48							
	4.9	0	0.68	1.46							
	5.78	0	0	2.14							
											
51.42S	1.8	0	0.47	0		0.47	-0.8	0	SAO-FA	2	B
56.17W	5.1	0	0	0.47		0.47	MCz	900	79L.3		
											
50.47S	1.87	0	0.72	0		2.91	-1.6	0	SAO-FA	3	B
54.05W	2.21	0	0.56	0.72		2.91	MCz	900	79L.3		
	3.15	0	1.63	1.28							
											
53.25S	1.8	0	1.07	0		4.83	-0.5	0	SAC-CS	4	B
63.25W	2.15	0	1.78	1.07		4.83		900	79L.3		
	3.8	0	1.98	2.85							
	5.3	0	0	4.83							
											
53.07S	1.8	0	0.88	0		3.74	-0.4	0	SAC-CS	4	B
63.32W	2.55	0	1.14	0.88		3.74		900	79L.3		
	3.15	0	1.72	2.02							
	4.85	0	0	3.74							
											
52.70S	1.8	0	0.62	0		3.5	-0.3	0	SAC-CS	4	B
64.03W	2.3	0	1.24	0.62		3.5		900	79L.3		
	3.4	0	1.64	1.86							
	4.9	0	0	3.5							
											
54.25S	1.9	0	0.65	0		0.65	-0.1	0	SAC-CS	2	B
64.55W	2.35	0	0	0.65		0.65		900	79L.3		
											
54.61S	3.35	0	0.11	0		3.65	-0.1	0	SAC-CS	4	B
64.01W	4.2	0	1.08	0.11		3.65		900	79L.3		
	5	0	2.46	1.19							
	5.6	0	0	3.65							
											
52.85S	1.76	0	0.64	0		6.78	-3.1	0	SAO-FA	4	B
53.00W	2.34	0	1.1	0.64		6.78	MCz	900	79L.3		
	3.44	0	3.36	1.74							
	5.46	0	1.68	5.1							
											
51.22S	1.69	0	0.99	0		4.31	-4	0	SAO-SG	4	B
39.18W	2.25	0	1.03	0.99		4.31	MCz	900	79L.3		
	5.1	0	2.29	2.02							
	6.4	0	0	4.31							
											
51.33S	1.54	0	0.83	0		3.49	-4	0	SAO-SG	5	B
38.88W	2.34	0	0.76	0.83		3.49	MCz	900	91H.4		
	2.8	0	0.18	1.59							
	4.98	0	1.72	1.77							
	5.6	0	0	3.49							
											
53.67S	1.95	0	0.99	0		1.99	-4.7	0	SAO-SG	3	B
28.57W	5.15	0	1	0.99		1.99	MCz	900	91H.4		
	6.3	0	0	1.99							
											
50.13S	1.65	0	0.47	0		2.89	-2.7	0	SAO-FA	5	B
47.92W	2.48	0	0.71	0.47		2.89	MCz	212.2	79L.3		
	4	0	1.07	1.18							
	4.7	0	0.64	2.25							
	5.45	0	0	2.89							
											
51.03S	1.78	0	0.42	0		3.04	-2.8	0	SAO-FA	5	B
48.85W	2.19	0	0.86	0.42		3.04	MCz	212.2	91H.4		
	2.75	0	0.89	1.28							
	3.09	0	0.87	2.17							
	5.9	0	0	3.04							
											
51.67S	1.72	0	0.96	0		3.23	-2.4	0	SAO-FA	6	B
49.50W	2.51	0	0.53	0.96		3.23	MCz	212.2	79L.3		
	2.79	0	0.74	1.49							
	3.12	0	0.53	2.23							
	4	0	0.47	2.76							
	4.8	0	0	3.23							
											
54.48S	2.4	0	0.7	0		0.7	-0.1	0	SAC-CS	2	B
58.48W	3.4	0	0	0.7		0.7		12.5	79L.3		
											
54.12S	2	0	1.04	0		1.04	-0.1	0	SAC-CS	2	B
58.32W	2.85	0	0	1.04		1.04		12.5	79L.3		
											
53.03S	1.8	0	0.44	0		2.96	-0.7	0	SAO-FT	5	B
57.93W	2.4	0	0.48	0.44		2.96	MCz	12.5	79L.3		
	3.25	0	1.28	0.92							
	5.4	0	0.76	2.2							
	6.95	0	0	2.96							
											
52.30S	5.01	0	1.84	0		1.84	-0.3	0	SAO-FT	1	B
57.68W						1.84		12.5	79L.3		
											
50.40S	2	0	0.98	0		1.4	-0.4	0	SAC-CS	3	B
56.57W	2.9	0	0.42	0.98		1.4		27.9	79L.3		
	5.4	0	0	1.4							
											
52.08S	1.62	0	0.52	0		3.02	-2.5	0	SAO-SR	6	B
48.12W	1.87	0	0.49	0.52		3.02	MCz	280	79L.3		
	2.66	0	0.68	1.01							
	2.91	0	0.69	1.69							
	4.4	0	0.64	2.38							
	5.4	0	0	3.02							
											
51.62S	1.59	0	0.41	0		5.17	-2.1	0	SAO-FA	8	B
52.28W	1.84	0	0.39	0.41		5.17	MCz	280	79L.3		
	2.26	0	0.92	0.8							
	2.83	0	0.93	1.72							
	3.45	0	1.25	2.65							
	4	0	0.63	3.9							
	4.23	0	0.64	4.53							
	5.1	0	0	5.17							
											
51.47S	1.71	0	0.58	0		8.89	-1.8	0	SAO-FA	6	B
53.80W	2.23	0	0.89	0.58		8.89	MCz	280	79L.3		
	2.76	0	0.64	1.47							
	3.45	0	4	2.11							
	3.9	0	1.49	6.11							
	4.67	0	1.29	7.6							
											
51.33S	1.87	0	0.94	0		2.02	-1.3	0	SAO-FA	3	B
55.02W	2.71	0	1.08	0.94		2.02	MCz	280	79L.3		
	3.8	0	0	2.02							
											
51.20S	2	0	0.36	0		1.48	-0.6	0	SAO-FA	3	B
56.30W	5.3	0	1.12	0.36		1.48	MCz	280	79L.3		
	6.05	0	0	1.48							
											
50.98S	4.35	0	0.96	0		0.96	-0.1	0	SAC-CS	2	B
58.18W	5.4	0	0	0.96		0.96		280	79L.3		
											
50.75S	1.8	0	0.11	0		0.52	-0.1	0	SAC-CS	3	B
61.23W	4.7	0	0.41	0.11		0.52		219.7	79L.3		
	6.1	0	0	0.52							
											
51.13S	4.85	0	0.37	0		0.37	-0.2	0	SAC-CS	2	B
61.78W	5.8	0	0	0.37		0.37		219.7	79L.3		
											
51.82S	1.8	0	0.2	0		0.2	-0.2	0	SAC-CS	2	B
62.30W	6.25	0	0	0.2		0.2		219.7	79L.3		
											
52.07S	1.8	0	0.69	0		0.69	-0.2	0	SAC-CS	2	B
62.82W	5.8	0	0	0.69		0.69		219.7	79L.3		
											
52.32S	1.9	0	1.09	0		1.33	-0.2	0	SAC-CS	3	B
63.13W	2.5	0	0.24	1.09		1.33		219.7	79L.3		
	5.3	0	0	1.33							
											
52.52S	2.15	0	1.28	0		3.2	-0.3	0	SAC-CS	5	B
63.37W	2.5	0	0.97	1.28		3.2		219.7	79L.3		
	4.05	0	0.69	2.25							
	4.4	0	0.26	2.94							
	5.45	0	0	3.2							
											
52.72S	1.9	0	0.99	0		4.34	-0.3	0	SAC-CS	4	B
63.63W	2.45	0	1.55	0.99		4.34		219.7	79L.3		
	4.3	0	1.8	2.54							
	5.7	0	0	4.34							
											
52.87S	1.73	0	0.29	0		3.96	-0.3	0	SAC-CS	7	B
63.98W	1.94	0	0.42	0.29		3.96		219.7	91H.4		
	2.73	0	0.81	0.71							
	3.17	0	1.06	1.52							
	4.1	0	0.12	2.58							
	4.53	0	1.26	2.7							
	5.03	0	0	3.96							
											
53.15S	2.05	0	0.93	0		4.08	-0.2	0	SAC-CS	4	B
64.45W	2.55	0	1.82	0.93		4.08		219.7	79L.3		
	4.8	0	1.33	2.75							
	6.5	0	0	4.08							
											
53.43S	1.95	0	0.85	0		3.5	-0.1	0	SAC-CS	4	B
64.85W	2.5	0	1.76	0.85		3.5		219.7	79L.3		
	4.7	0	0.89	2.61							
	5.95	0	0	3.5							
											
53.87S	1.9	0	0.41	0		1.82	-0.1	0	SAC-CS	4	B
65.53W	2.45	0	0.47	0.41		1.82		219.7	79L.3		
	2.9	0	0.94	0.88							
	3.95	0	0	1.82							
											
54.13S	2.3	0	0.19	0		1.03	-0.1	0	SAC-CS	3	B
65.77W	2.6	0	0.84	0.19		1.03		219.7	79L.3		
	3.4	0	0	1.03							
											
54.22S	2.65	0	1.04	0		1.04	-0.1	0	SAC-CS	2	B
65.95W	3.7	0	0	1.04		1.04		219.7	79L.3		
											
53.85S	2.6	0	0.52	0		0.52	-0.1	0	SAC-CS	2	B
67.12W	3.3	0	0	0.52		0.52		900	79L.3		
											
51.72S	2.05	0	0.81	0		0.81	-0.1	0	SAC-CS	2	B
65.68W	2.55	0	0	0.81		0.81		43.2	79L.3		
											
51.12S	1.9	0	0.74	0		1.98	-0.1	0	SAC-CS	4	B
64.84W	2.7	0	0.69	0.74		1.98		43.2	79L.3		
	3.05	0	0.55	1.43							
	5.3	0	0	1.98							
											
50.17S	2	0	0.42	0		1.07	-0.1	0	SAC-CS	3	B
63.43W	4.15	0	0.65	0.42		1.07		43.2	79L.3		
	5.3	0	0	1.07							
											
50.37S	1.8	0	0.32	0		0.82	-0.1	0	SAC-CS	3	B
65.93W	2.3	0	0.5	0.32		0.82		226.5	79L.3		
	4.75	0	0	0.82							
											
50.69S	1.8	0	0.58	0		2.25	-0.1	0	SAC-CS	3	B
66.48W	4.95	0	1.67	0.58		2.25		226.5	79L.3		
	6.25	0	0	2.25							
											
51.02S	1.8	0	0.48	0		1.95	-0.1	0	SAC-CS	4	B
67.02W	4.2	0	0.49	0.48		1.95		226.5	79L.3		
	5.05	0	0.98	0.97							
	6.1	0	0	1.95							
											
51.40S	1.8	0	0.22	0		1.73	-0.1	0	SAC-CS	4	B
67.53W	2.2	0	0.32	0.22		1.73		226.5	79L.3		
	4.15	0	1.19	0.54							
	6.55	0	0	1.73							
											
51.72S	1.95	0	0.53	0		0.53	-0.1	0	SAC-CS	2	B
68.13W	2.65	0	0	0.53		0.53		226.5	79L.3		
											
52.28S	1.9	0	0.25	0		3.29	-0.1	0	SAC-CS	4	B
67.78W	2.25	0	1.21	0.25		3.29		162.8	79L.3		
	4.95	0	1.83	1.46							
	6.5	0	0	3.29							
											
53.42S	2.1	0	0.33	0		2.5	-0.1	0	SAC-CS	4	B
67.13W	2.6	0	1.28	0.33		2.5		900	79L.3		
	4.95	0	0.89	1.61							
	6.25	0	0	2.5							
											
53.32S	2	0	0.56	0		2.64	-0.1	0	SAC-CS	4	B
66.50W	2.5	0	0.96	0.56		2.64		900	79L.3		
	4.7	0	1.12	1.52							
	5.45	0	0	2.64							
											
52.85S	2.05	0	1.45	0		4.02	-0.1	0	SAC-CS	3	B
65.73W	5	0	2.57	1.45		4.02		900	79L.3		
	6.55	0	0	4.02							
											
52.37S	1.6	0	0.28	0		3.56	-0.2	0	SAC-CS	6	B
64.92W	1.95	0	0.42	0.28		3.56		41	79L.3		
	2.35	0	0.96	0.7							
	3.35	0	1	1.66							
	4.65	0	0.9	2.66							
	5.6	0	0	3.56							
											
51.62S	1.9	0	0.83	0		2.57	-0.2	0	SAC-CS	4	B
64.00W	2.5	0	0.37	0.83		2.57		41	79L.3		
	5.1	0	1.37	1.2							
	6.45	0	0	2.57							
											
51.02S	1.9	0	0.55	0		2.9	-0.2	0	SAC-CS	3	B
63.12W	5	0	2.35	0.55		2.9		41	79L.3		
	6.4	0	0	2.9							
											
50.67S	1.8	0	0.18	0		0.18	-0.2	0	SAC-CS	2	B
62.62W	5.3	0	0	0.18		0.18		41	79L.3		
											
51.67S	4	0	0.82	0		0.82	-0.1	0	SAC-CS	2	B
61.58W	5	0	0	0.82		0.82		207	79L.3		
											
53.33S	1.57	0	0.5	0		7.57	-0.5	0	SAC-CS	7	B
62.97W	1.68	0	0.44	0.5		7.57		207	79L.3		
	2.26	0	1.46	0.94							
	3	0	1.05	2.4							
	4.1	0	1.51	3.45							
	4.68	0	2.61	4.96							
	5.6	0	0	7.57							
											
53.48S	2.23	0	2.71	0		5.38	-0.5	0	SAC-CS	3	B
63.22W	3.14	0	1.6	2.71		5.38		247.8	79L.3		
	3.48	0	1.07	4.31							
											
53.60S	2.2	0	2.4	0		5.31	-0.6	0	SAC-CS	4	B
63.43W	3.47	0	2	2.4		5.31	MCz	247.8	79L.3		
	4.73	0	0.91	4.4							
	5.45	0	0	5.31							
											
53.70S	1.62	0	0.57	0		6.29	-0.5	0	SAC-CS	6	B
63.62W	2.45	0	1.56	0.57		6.29		247.8	79L.3		
	3.4	0	2.03	2.13							
	4.35	0	1.53	4.16							
	6.1	0	0.6	5.69							
	6.8	0	0	6.29							
											
53.87S	2.38	0	2.23	0		5.59	-0.2	0	SAC-CS	4	B
63.92W	3.59	0	2.85	2.23		5.59		247.8	79L.3		
	4	0	0.51	5.08							
	6	0	0	5.59							
											
54.02S	1.8	0	0.68	0		4.82	-0.1	0	SAC-CS	4	B
64.08W	2.5	0	2.1	0.68		4.82		247.8	79L.3		
	4.1	0	2.04	2.78							
	5.5	0	0	4.82							
											
54.12S	2	0	0.86	0		0.86	-0.1	0	SAC-CS	2	B
64.28W	2.8	0	0	0.86		0.86		247.8	79L.3		
											
54.25S	1.8	0	0.69	0		2.28	-0.1	0	SAC-CS	4	B
64.68W	2.5	0	0.55	0.69		2.28		247.8	79L.3		
	3.3	0	1.04	1.24							
	3.85	0	0	2.28							
											
32.00S	5.88	3.46	10	0		45	0.4	0	SAC-BR	3	E
66.50W	6.2	3.65	35	10		45	MCz	999	05A.1	O	RO
	8.15	4.53	0	45	m						
											
53.87S	2.49	0	2.25	0		3.66	-0.1	0	SAC-CS	2	B
64.57W	4.15	0	1.41	2.25		3.66		40.6	79L.3		
											
53.42S	1.6	0	0.26	0		3.06	-0.1	0	SAC-CS	4	B
64.17W	1.9	0	0.87	0.26		3.06		40.6	79L.3		
	2.5	0	1.93	1.13							
	4.2	0	0	3.06							
											
53.02S	1.8	0	0.77	0		5.18	-0.4	0	SAC-CS	5	B
63.19W	2.3	0	1.89	0.77		5.18		152.7	79L.3		
	3.65	0	0.93	2.66							
