ID,Quad,Long,Lat,apfaults,qfaults,landslides,lique,geology,earthquakes,hillshades,
125,Mount Saint Helena,-122.6875,38.6875,YES,YES,YES,YES,YES,YES,YES,
126,Mount Sizer,-121.5625,37.1875,YES,YES,YES,YES,YES,YES,YES,
127,Mount Stakes,-121.4375,37.3125,NO,YES,YES,YES,YES,YES,YES,
128,Mount Vaca,-122.0625,38.4375,NO,YES,YES,YES,YES,YES,YES,
129,Mountain View,-122.0625,37.4375,NO,YES,YES,YES,YES,YES,YES,
130,Mustang Peak,-121.3125,37.1875,YES,YES,YES,YES,YES,YES,YES,
131,Napa,-122.3125,38.3125,NO,YES,YES,YES,YES,YES,YES,
132,Natividad,-121.5625,36.6875,NO,NO,NO,NO,YES,YES,YES,
133,Newark,-122.0625,37.5625,YES,YES,YES,YES,YES,YES,YES,
134,Niles,-121.9375,37.5625,YES,YES,YES,YES,YES,YES,YES,
135,North Chalone Peak,-121.1875,36.4375,NO,NO,NO,NO,NO,YES,YES,
136,Novato,-122.5625,38.0625,NO,YES,YES,YES,YES,YES,YES,
137,Oakland East,-122.1875,37.8125,YES,YES,YES,YES,YES,YES,YES,
138,Oakland West,-122.3125,37.8125,YES,YES,YES,YES,YES,YES,YES,
139,Ortigalita Peak,-120.9375,36.8125,YES,YES,NO,NO,NO,NO,YES,
140,Pacheco Pass,-121.1875,37.0625,YES,YES,YES,YES,YES,YES,YES,
141,Pacheco Peak,-121.3125,37.0625,NO,NO,YES,YES,YES,YES,YES,
142,Paicines,-121.3125,36.6875,YES,YES,NO,NO,YES,YES,YES,
143,Palo Alto,-122.1875,37.4375,YES,YES,YES,YES,YES,YES,YES,
144,Palo Escrito Peak,-121.4375,36.4375,NO,YES,NO,NO,NO,YES,YES,
145,Panoche Pass,-121.0625,36.6875,NO,YES,NO,NO,YES,YES,YES,
146,Petaluma,-122.6875,38.1875,NO,YES,YES,YES,YES,NO,YES,
147,Petaluma Point,-122.4375,38.0625,NO,YES,YES,YES,YES,YES,YES,
148,Petaluma River,-122.5625,38.1875,YES,YES,YES,YES,YES,YES,YES,
149,Pigeon Point,-122.4375,37.1875,NO,YES,YES,YES,YES,YES,YES,
150,Plantation,-123.3125,38.5625,YES,YES,YES,YES,YES,YES,YES,
151,Plantation OE W,-123.4375,38.5625,YES,YES,YES,YES,YES,YES,YES,
152,Point Bonita,-122.5625,37.8125,NO,YES,YES,YES,YES,YES,YES,
153,Point Reyes NE,-122.8125,38.1875,YES,YES,YES,YES,YES,YES,YES,
154,Prunedale,-121.6875,36.8125,NO,YES,NO,NO,YES,YES,YES,
155,Quien Sabe Valley,-121.1875,36.8125,NO,YES,NO,NO,YES,YES,YES,
156,Rana Creek,-121.5625,36.4375,NO,YES,NO,NO,NO,YES,YES,
157,Redwood Point,-122.1875,37.5625,NO,YES,YES,YES,YES,YES,YES,
158,Richmond,-122.3125,37.9375,YES,YES,YES,YES,YES,YES,YES,
159,Rio Vista,-121.6875,38.1875,NO,YES,YES,YES,YES,YES,YES,
160,Ruby Canyon,-121.0625,36.8125,NO,NO,NO,NO,YES,YES,YES,
161,Rutherford,-122.4375,38.4375,NO,YES,YES,YES,YES,YES,YES,
162,Saint Helena,-122.4375,38.5625,NO,YES,YES,YES,YES,YES,YES,
163,Salinas,-121.6875,36.6875,NO,YES,NO,NO,YES,YES,YES,
164,San Benito,-121.0625,36.5625,YES,YES,NO,NO,YES,YES,YES,
165,San Felipe,-121.4375,36.9375,YES,YES,YES,YES,YES,YES,YES,
166,San Francisco North,-122.4375,37.8125,NO,NO,YES,YES,YES,YES,YES,
167,San Francisco South,-122.4375,37.6875,YES,YES,YES,YES,YES,YES,YES,
168,San Francisco South OE W,-122.5625,37.6875,NO,YES,YES,YES,YES,YES,YES,
169,San Geronimo,-122.6875,38.0625,NO,NO,YES,YES,YES,NO,YES,
170,San Gregorio,-122.4375,37.3125,NO,YES,YES,YES,YES,YES,YES,
171,San Jose East,-121.8125,37.3125,YES,YES,YES,YES,YES,YES,YES,
172,San Jose West,-121.9375,37.3125,NO,YES,YES,YES,YES,YES,YES,
173,San Juan Bautista,-121.5625,36.8125,YES,YES,NO,NO,YES,YES,YES,
174,San Leandro,-122.1875,37.6875,YES,YES,YES,YES,YES,YES,YES,
175,San Mateo,-122.3125,37.5625,YES,YES,YES,YES,YES,YES,YES,
176,San Quentin,-122.4375,37.9375,NO,NO,YES,YES,YES,YES,YES,
177,San Rafael,-122.5625,37.9375,NO,NO,YES,YES,YES,YES,YES,
178,Santa Cruz,-122.0625,36.9375,NO,YES,YES,NO,YES,YES,YES,
179,Santa Cruz OE W,-122.1875,36.9375,NO,YES,YES,NO,YES,YES,YES,
180,Santa Rosa,-122.6875,38.4375,YES,YES,YES,YES,YES,YES,YES,
181,Santa Teresa Hills,-121.8125,37.1875,NO,YES,YES,YES,YES,YES,YES,
182,Saxon,-121.6875,38.4375,NO,NO,YES,YES,YES,YES,YES,
183,Sears Point,-122.4375,38.1875,YES,YES,YES,YES,YES,YES,YES,
184,Seaside,-121.8125,36.5625,NO,YES,NO,NO,YES,YES,YES,
185,Sebastopol,-122.8125,38.4375,NO,YES,YES,YES,YES,YES,YES,
186,Soberanes Point,-121.9375,36.4375,NO,YES,NO,NO,NO,YES,YES,
187,Soledad,-121.3125,36.4375,NO,NO,NO,NO,NO,YES,YES,
188,Sonoma,-122.4375,38.3125,NO,YES,YES,YES,YES,YES,YES,
189,Soquel,-121.9375,36.9375,NO,YES,YES,NO,YES,YES,YES,
190,Spreckels,-121.6875,36.5625,NO,YES,NO,NO,YES,YES,YES,
191,Stewarts Point,-123.4375,38.6875,YES,YES,YES,YES,YES,YES,YES,
192,Stewarts Point OE W,-123.5625,38.6875,NO,YES,YES,YES,YES,YES,YES,
193,Tassajara,-121.8125,37.8125,YES,YES,YES,YES,YES,YES,YES,
194,The Geysers,-122.8125,38.8125,NO,YES,YES,YES,YES,YES,YES,
195,Three Sisters,-121.3125,36.9375,YES,YES,YES,YES,YES,YES,YES,
196,Tomales,-122.9375,38.1875,YES,YES,YES,YES,YES,YES,YES,
197,Tombs Creek,-123.1875,38.6875,NO,NO,YES,YES,YES,YES,YES,
198,Topo Valley,-121.0625,36.4375,YES,YES,NO,NO,NO,YES,YES,
199,Tres Pinos,-121.3125,36.8125,YES,YES,NO,NO,YES,YES,YES,
200,Two Rock,-122.8125,38.3125,NO,YES,YES,YES,YES,YES,YES,
201,Valley Ford,-122.9375,38.3125,YES,YES,YES,YES,YES,YES,YES,
202,Vine Hill,-122.0625,38.0625,YES,YES,YES,YES,YES,YES,YES,
203,Walnut Creek,-122.0625,37.9375,YES,YES,YES,YES,YES,YES,YES,
204,Walter Springs,-122.3125,38.6875,NO,YES,YES,YES,YES,YES,YES,
205,Warm Springs Dam,-123.0625,38.6875,NO,YES,YES,YES,YES,YES,YES,
206,Watsonville East,-121.6875,36.9375,YES,YES,YES,YES,YES,YES,YES,
207,Watsonville West,-121.8125,36.9375,YES,YES,YES,NO,YES,YES,YES,
208,Whispering Pines,-122.6875,38.8125,NO,YES,YES,YES,YES,YES,YES,
209,Winters,-121.9375,38.5625,NO,NO,YES,YES,YES,YES,YES,
210,Woodside,-122.3125,37.4375,YES,YES,YES,YES,YES,YES,YES,
211,Woodward Island,-121.5625,37.9375,NO,NO,YES,YES,YES,YES,YES,
212,Yountville,-122.3125,38.4375,NO,YES,YES,YES,YES,YES,YES,
